column,role,dtype,missing,unique_non_null
benchmark_id,identifier_or_metadata,object,0,2500
benchmark_version,identifier_or_metadata,object,0,1
label_source,label,object,0,1
label_final_status,label,object,0,1
annotation_id,identifier_or_metadata,object,0,2500
award_id,identifier_or_metadata,object,0,2500
project_cluster_id,identifier_or_metadata,object,0,2045
label_mmr_class,label,object,0,6
label_qual_signal,label,object,0,2
label_quant_signal,label,object,0,2
label_design_present,label,object,0,2
label_design_type,label,object,0,17
label_integration_present,label,object,0,2
label_integration_type,label,object,0,11
label_reporting_completeness,label,object,0,5
target_mmr_binary,target,int64,0,2
target_mmr_multiclass,target,object,0,6
target_explicit_mmr_binary,target,int64,0,2
target_implicit_mmr_binary,target,int64,0,2
target_method_signal_binary,target,int64,0,2
target_qual_binary,target,float64,0,2
target_quant_binary,target,float64,0,2
target_design_binary,target,float64,0,2
target_design_type,target,object,0,17
target_integration_binary,target,float64,0,2
target_integration_type,target,object,0,11
target_reporting_quality,target,object,0,5
target_reporting_quality_ordinal,target,float64,0,5
target_design_binary_broad,target,float64,0,2
target_design_specific_binary,target,int64,0,2
target_integration_binary_broad,target,float64,0,2
target_integration_strict_binary,target,int64,0,2
split_random_cluster_stratified,split,object,0,3
split_temporal_cluster_safe,split,object,0,3
split_edu_to_eng_cluster_safe,split,object,0,2
split_cross_program_cluster_safe,split,object,0,3
split_cold_start_pi_cluster_safe,split,object,0,3
split_cold_start_institution_cluster_safe,split,object,0,3
start_year,identifier_or_metadata,int64,0,26
cat_NSFDirectorate,known_static_categorical_metadata,object,0,2
cat_NSFOrganization,known_static_categorical_metadata,object,0,5
cat_primary_program_key,known_static_categorical_metadata,object,0,131
cat_institution_key,known_static_categorical_metadata,object,0,822
cat_state_key,known_static_categorical_metadata,object,0,53
cat_award_instrument,known_static_categorical_metadata,object,0,5
m_start_year,known_static_numeric_metadata,int64,0,26
m_team_size,known_static_numeric_metadata,float64,0,11
m_num_co_pis,known_static_numeric_metadata,float64,0,10
m_has_copi,known_static_numeric_metadata,float64,0,2
m_num_current_participants,known_static_numeric_metadata,float64,0,10
g_lead_pi_prior_award_count,graph_historical_feature,float64,0,30
g_lead_pi_prior_collaborator_count,graph_historical_feature,float64,0,40
g_lead_pi_prior_program_count,graph_historical_feature,float64,0,16
g_lead_pi_prior_institution_count,graph_historical_feature,float64,0,13
g_lead_pi_seen_before,graph_historical_feature,float64,0,2
g_lead_pi_years_since_first,graph_historical_feature,float64,0,25
g_lead_pi_years_since_last,graph_historical_feature,float64,0,18
g_institution_prior_award_count,graph_historical_feature,float64,0,233
g_institution_prior_person_count,graph_historical_feature,float64,0,305
g_institution_prior_program_count,graph_historical_feature,float64,0,73
g_institution_prior_year_count,graph_historical_feature,float64,0,26
g_institution_seen_before,graph_historical_feature,float64,0,2
g_institution_age_years,graph_historical_feature,float64,0,26
g_institution_years_since_last,graph_historical_feature,float64,0,19
g_program_prior_award_count,graph_historical_feature,float64,0,382
g_program_prior_person_count,graph_historical_feature,float64,0,472
g_program_prior_institution_count,graph_historical_feature,float64,0,293
g_program_prior_year_count,graph_historical_feature,float64,0,26
g_program_seen_before,graph_historical_feature,float64,0,2
g_program_age_years,graph_historical_feature,float64,0,26
g_program_years_since_last,graph_historical_feature,float64,0,10
g_nsforg_prior_award_count,graph_historical_feature,float64,0,125
g_nsforg_prior_person_count,graph_historical_feature,float64,0,124
g_nsforg_prior_institution_count,graph_historical_feature,float64,0,120
g_nsforg_prior_year_count,graph_historical_feature,float64,0,26
g_directorate_prior_award_count,graph_historical_feature,float64,0,51
g_directorate_prior_person_count,graph_historical_feature,float64,0,51
g_directorate_prior_institution_count,graph_historical_feature,float64,0,51
g_directorate_prior_year_count,graph_historical_feature,float64,0,26
g_state_prior_award_count,graph_historical_feature,float64,0,542
g_state_prior_person_count,graph_historical_feature,float64,0,642
g_state_prior_program_count,graph_historical_feature,float64,0,133
g_state_prior_year_count,graph_historical_feature,float64,0,26
g_cold_start_lead_pi,graph_historical_feature,float64,0,2
g_cold_start_institution,graph_historical_feature,float64,0,2
g_cold_start_program,graph_historical_feature,float64,0,2
g_team_prior_award_count_sum,graph_historical_feature,float64,0,39
g_team_prior_award_count_mean,graph_historical_feature,float64,0,113
g_team_prior_award_count_max,graph_historical_feature,float64,0,28
g_team_prior_award_count_min,graph_historical_feature,float64,0,23
g_team_prior_award_count_nonzero_count,graph_historical_feature,float64,0,8
g_team_prior_collaborator_count_sum,graph_historical_feature,float64,0,62
g_team_prior_collaborator_count_mean,graph_historical_feature,float64,0,162
g_team_prior_collaborator_count_max,graph_historical_feature,float64,0,42
g_team_prior_collaborator_count_min,graph_historical_feature,float64,0,27
g_team_prior_collaborator_count_nonzero_count,graph_historical_feature,float64,0,8
g_team_prior_program_count_sum,graph_historical_feature,float64,0,26
g_team_prior_program_count_mean,graph_historical_feature,float64,0,75
g_team_prior_program_count_max,graph_historical_feature,float64,0,17
g_team_prior_program_count_min,graph_historical_feature,float64,0,12
g_team_prior_program_count_nonzero_count,graph_historical_feature,float64,0,8
g_team_prior_institution_count_sum,graph_historical_feature,float64,0,17
g_team_prior_institution_count_mean,graph_historical_feature,float64,0,47
g_team_prior_institution_count_max,graph_historical_feature,float64,0,10
g_team_prior_institution_count_min,graph_historical_feature,float64,0,8
g_team_prior_institution_count_nonzero_count,graph_historical_feature,float64,0,8
g_current_team_prior_pair_collaboration_count_sum,graph_historical_feature,float64,0,16
g_current_team_prior_pair_collaboration_count_mean,graph_historical_feature,float64,0,38
g_current_team_prior_pair_collaboration_count_max,graph_historical_feature,float64,0,9
g_current_team_prior_pair_collaboration_count_min,graph_historical_feature,float64,0,6
g_current_team_prior_pair_collaboration_count_nonzero_count,graph_historical_feature,float64,0,9
g_team_seen_before_fraction,graph_historical_feature,float64,0,24
g_current_team_any_prior_pair_collaboration,graph_historical_feature,float64,0,2
g_lead_pi_prior_award_count_log1p,graph_historical_feature,float64,0,30
g_lead_pi_prior_collaborator_count_log1p,graph_historical_feature,float64,0,40
g_lead_pi_prior_program_count_log1p,graph_historical_feature,float64,0,16
g_lead_pi_prior_institution_count_log1p,graph_historical_feature,float64,0,13
g_institution_prior_award_count_log1p,graph_historical_feature,float64,0,233
g_institution_prior_person_count_log1p,graph_historical_feature,float64,0,305
g_institution_prior_program_count_log1p,graph_historical_feature,float64,0,73
g_institution_prior_year_count_log1p,graph_historical_feature,float64,0,26
g_program_prior_award_count_log1p,graph_historical_feature,float64,0,382
g_program_prior_person_count_log1p,graph_historical_feature,float64,0,472
g_program_prior_institution_count_log1p,graph_historical_feature,float64,0,293
g_program_prior_year_count_log1p,graph_historical_feature,float64,0,26
g_nsforg_prior_award_count_log1p,graph_historical_feature,float64,0,125
g_nsforg_prior_person_count_log1p,graph_historical_feature,float64,0,124
g_nsforg_prior_institution_count_log1p,graph_historical_feature,float64,0,120
g_nsforg_prior_year_count_log1p,graph_historical_feature,float64,0,26
g_directorate_prior_award_count_log1p,graph_historical_feature,float64,0,51
g_directorate_prior_person_count_log1p,graph_historical_feature,float64,0,51
g_directorate_prior_institution_count_log1p,graph_historical_feature,float64,0,51
g_directorate_prior_year_count_log1p,graph_historical_feature,float64,0,26
g_state_prior_award_count_log1p,graph_historical_feature,float64,0,542
g_state_prior_person_count_log1p,graph_historical_feature,float64,0,642
