section,metric,value
dataset,rows,2500
dataset,unique_award_ids,2500
split:split_random_cluster_stratified,train,1750
split:split_random_cluster_stratified,validation,376
split:split_random_cluster_stratified,test,374
split:split_temporal_cluster_safe,train,1257
split:split_temporal_cluster_safe,test,897
split:split_temporal_cluster_safe,validation,346
split:split_edu_to_eng_cluster_safe,train,2158
split:split_edu_to_eng_cluster_safe,test,342
split:split_cross_program_cluster_safe,train,2228
split:split_cross_program_cluster_safe,test,218
split:split_cross_program_cluster_safe,validation,54
split:split_cold_start_pi_cluster_safe,train,1735
split:split_cold_start_pi_cluster_safe,validation,400
split:split_cold_start_pi_cluster_safe,test,365
split:split_cold_start_institution_cluster_safe,train,2253
split:split_cold_start_institution_cluster_safe,validation,133
split:split_cold_start_institution_cluster_safe,test,114
target:target_mmr_binary,0,1340
target:target_mmr_binary,1,1160
target:target_mmr_multiclass,explicit_mmr,763
target:target_mmr_multiclass,implicit_mmr,397
target:target_mmr_multiclass,no_method_signal,372
target:target_mmr_multiclass,quant_only,362
target:target_mmr_multiclass,multi_method_not_mmr,338
target:target_mmr_multiclass,qual_only,268
target:target_explicit_mmr_binary,0,1737
target:target_explicit_mmr_binary,1,763
target:target_implicit_mmr_binary,0,2103
target:target_implicit_mmr_binary,1,397
target:target_method_signal_binary,1,2128
target:target_method_signal_binary,0,372
target:target_qual_binary,1.0,1512
target:target_qual_binary,0.0,988
target:target_quant_binary,1.0,1606
target:target_quant_binary,0.0,894
target:target_design_binary,1.0,2128
target:target_design_binary,0.0,372
target:target_design_type,mixed_methods_explicit,763
target:target_design_type,mixed_methods_implicit,397
target:target_design_type,none,372
target:target_design_type,program_evaluation,313
target:target_design_type,case_study,115
target:target_design_type,quantitative_general,110
target:target_design_type,unclear,84
target:target_design_type,ethnographic_or_observational,78
target:target_design_type,survey,59
target:target_design_type,qualitative_general,45
target:target_design_type,learning_analytics_or_computational,41
target:target_design_type,longitudinal,32
target:target_design_type,instrument_development_validation,29
target:target_design_type,participatory_or_community_based,25
target:target_design_type,experimental,18
target:target_design_type,design_based_research,11
target:target_design_type,quasi_experimental,8
target:target_integration_binary,0.0,1340
target:target_integration_binary,1.0,1160
target:target_integration_type,none,1340
target:target_integration_type,explicit_mixed_methods,767
target:target_integration_type,evaluation_integration,169
target:target_integration_type,implicit_unspecified,62
target:target_integration_type,explanatory_sequential_quant_to_qual,56
target:target_integration_type,instrument_development,42
target:target_integration_type,embedded,18
target:target_integration_type,design_iteration,14
target:target_integration_type,triangulation,14
target:target_integration_type,exploratory_sequential_qual_to_quant,12
target:target_integration_type,convergent_parallel,6
target:target_reporting_quality,adequate,946
target:target_reporting_quality,partial,810
target:target_reporting_quality,none_no_report,375
target:target_reporting_quality,complete,349
target:target_reporting_quality,minimal,20
target:target_reporting_quality_ordinal,3.0,946
target:target_reporting_quality_ordinal,2.0,810
target:target_reporting_quality_ordinal,0.0,375
target:target_reporting_quality_ordinal,4.0,349
target:target_reporting_quality_ordinal,1.0,20
target:target_design_binary_broad,1.0,2128
target:target_design_binary_broad,0.0,372
target:target_design_specific_binary,0,1771
target:target_design_specific_binary,1,729
target:target_integration_binary_broad,0.0,1340
target:target_integration_binary_broad,1.0,1160
target:target_integration_strict_binary,0,2169
target:target_integration_strict_binary,1,331
graph_feature,g_cold_start_lead_pi_sum,1167
graph_feature,g_cold_start_institution_sum,180
graph_feature,g_cold_start_program_sum,98
