model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.18242343541944075,0.17403870649301023,0.09081934846989141,0.989247311827957,0.04759441282979824,0.5222347064148991,0.8642153568895439
regex,validation,0.2706766917293233,0.22586258625862585,0.039603960396039604,1.0,0.020202020202020204,0.51010101010101,0.7495253284726969
regex,test,0.19298245614035087,0.180625,0.08,1.0,0.041666666666666664,0.5208333333333334,0.8486842105263157
tfidf_lr,train,0.9502885042166,0.910614493476462,0.97016515716569,1.0,0.942058975685463,0.9987519399896533,0.9997929958015446
tfidf_lr,validation,0.8270676691729323,0.7864572425828971,0.8795811518324608,0.9130434782608695,0.8484848484848485,0.8755199049316696,0.9562538190409006
tfidf_lr,test,0.8070175438596491,0.7097222222222221,0.8777777777777778,0.9404761904761905,0.8229166666666666,0.8813657407407407,0.9763663531282504
tfidf_svm,train,0.9986684420772304,0.9972788858206963,0.9992234015014237,1.0,0.9984480082772892,1.0,0.9999999999999999
tfidf_svm,validation,0.8270676691729323,0.7658629927286644,0.8855721393034826,0.8725490196078431,0.898989898989899,0.8868092691622105,0.9606549376740664
tfidf_svm,test,0.8508771929824561,0.7472283813747228,0.9090909090909091,0.9340659340659341,0.8854166666666666,0.8883101851851852,0.9775950769834938
frozen_embedding_lr,train,0.9280958721704394,0.8764083219331157,0.9563342318059299,0.9983117613956106,0.9177444386963269,0.9791046947749613,0.9967363408656937
frozen_embedding_lr,validation,0.7443609022556391,0.6817286036036037,0.8229166666666666,0.8494623655913979,0.797979797979798,0.7260843731431967,0.8613308056048854
frozen_embedding_lr,test,0.7456140350877193,0.6230760460608824,0.8379888268156425,0.9036144578313253,0.78125,0.7378472222222222,0.9341053292897609
frozen_embedding_mlp,train,0.9649356413670661,0.9217203603061573,0.9798828622358035,0.9648946840521565,0.9953440248318676,0.9869729694774961,0.9977043938639059
frozen_embedding_mlp,validation,0.7593984962406015,0.605925925925926,0.8518518518518519,0.7863247863247863,0.9292929292929293,0.826797385620915,0.9408367478460941
frozen_embedding_mlp,test,0.8508771929824561,0.6641829838849419,0.914572864321608,0.883495145631068,0.9479166666666666,0.8078703703703705,0.9570623073384202
