model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.19711815561959653,0.1865237573211364,0.0936890045543266,0.9863013698630136,0.04918032786885246,0.5227451454842418,0.8508121002516841
regex,validation,0.1575,0.15304820965198324,0.09164420485175202,1.0,0.0480225988700565,0.5240112994350282,0.8905225988700565
regex,test,0.17534246575342466,0.16203311748240015,0.05642633228840126,1.0,0.02903225806451613,0.5145161290322581,0.8536897923110914
tfidf_lr,train,0.9613832853025936,0.9332825972293726,0.9765816148199931,1.0,0.9542349726775956,0.9991606678361865,0.9998450213770259
tfidf_lr,validation,0.8875,0.7715011107584894,0.9343065693430657,0.9667673716012085,0.903954802259887,0.9258781626136084,0.99014376495388
tfidf_lr,test,0.8821917808219178,0.7924628099173554,0.9289256198347108,0.9525423728813559,0.9064516129032258,0.9289149560117302,0.9875717876570476
tfidf_svm,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tfidf_svm,validation,0.89,0.7191011235955056,0.9382022471910112,0.9329608938547486,0.943502824858757,0.9312208302628346,0.9909537752947208
tfidf_svm,test,0.8712328767123287,0.7299658423712005,0.9252782193958664,0.9122257053291536,0.9387096774193548,0.9306744868035189,0.987970426616459
frozen_embedding_lr,train,0.9417867435158501,0.9033660179917271,0.9642983386355602,0.9992673992673993,0.9316939890710383,0.9842190430101022,0.9973355857378845
frozen_embedding_lr,validation,0.8275,0.6811423422174471,0.8971684053651267,0.9495268138801262,0.8502824858757062,0.850773765659543,0.9737971491879658
frozen_embedding_lr,test,0.7917808219178082,0.64000207641196,0.8737541528239202,0.9006849315068494,0.8483870967741935,0.769032258064516,0.9400263276013394
frozen_embedding_mlp,train,0.9746397694524496,0.9494303126656067,0.9851351351351352,0.9745989304812834,0.9959016393442623,0.994316234145948,0.9989149807508879
frozen_embedding_mlp,validation,0.9125,0.7224370031126708,0.9521203830369357,0.9230769230769231,0.9830508474576272,0.8796978629329404,0.9814621500963405
frozen_embedding_mlp,test,0.8575342465753425,0.635,0.92,0.8794117647058823,0.964516129032258,0.8315542521994135,0.9661538557920399
