model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.1741472172351885,0.16743839947489675,0.09270216962524655,0.9894736842105263,0.04862907397827212,0.5226196217348988,0.8735211387197274
regex,validation,0.2222222222222222,0.18181818181818182,0.0,0.0,0.0,0.5,0.7777777777777778
regex,test,0.3165137614678899,0.2584526174006347,0.050955414012738856,1.0,0.026143790849673203,0.5130718954248366,0.7096300293817833
tfidf_lr,train,0.9573608617594255,0.918060805958651,0.9748077433041633,1.0,0.9508535954474909,0.9991635027664033,0.9998721675548627
tfidf_lr,validation,0.7407407407407407,0.676923076923077,0.8205128205128205,0.8888888888888888,0.7619047619047619,0.8035714285714286,0.9446191632720414
tfidf_lr,test,0.7614678899082569,0.7175039872408293,0.8289473684210527,0.8344370860927153,0.8235294117647058,0.8390145801910507,0.9322224600414841
tfidf_svm,train,0.9991023339317774,0.9980520116389682,0.9994824016563147,1.0,0.9989653388515262,1.0,1.0
tfidf_svm,validation,0.7037037037037037,0.5947467166979362,0.8048780487804879,0.825,0.7857142857142857,0.7996031746031746,0.9401304311481657
tfidf_svm,test,0.7798165137614679,0.7081985499163412,0.852760736196319,0.8034682080924855,0.9084967320261438,0.8377073906485671,0.9308273367664964
frozen_embedding_lr,train,0.9290843806104129,0.8722601303148138,0.9574582660204631,0.9983155530600786,0.9198137609932747,0.9801888695011707,0.9971502318258467
frozen_embedding_lr,validation,0.6851851851851852,0.5993016150152771,0.7848101265822784,0.8378378378378378,0.7380952380952381,0.6646825396825397,0.8902863618387825
frozen_embedding_lr,test,0.7247706422018348,0.6866915780396665,0.7959183673469388,0.8297872340425532,0.7647058823529411,0.7536450477626949,0.8798762836697533
frozen_embedding_mlp,train,0.9789048473967684,0.9530752943548839,0.9878897191445504,0.9840862422997947,0.991722710812209,0.9903460853858497,0.9983849497029278
frozen_embedding_mlp,validation,0.7777777777777778,0.6,0.8666666666666667,0.8125,0.9285714285714286,0.7460317460317462,0.9206577001642687
frozen_embedding_mlp,test,0.7522935779816514,0.6393382352941177,0.8411764705882353,0.7647058823529411,0.934640522875817,0.7909502262443439,0.9071416117548721
