model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.17592592592592593,0.16652399687836703,0.07800121876904327,0.9846153846153847,0.04060913705583756,0.5183814916048418,0.8635137928658382
regex,validation,0.19254658385093168,0.18547633872976338,0.1095890410958904,1.0,0.057971014492753624,0.5289855072463768,0.865424430641822
regex,test,0.24561403508771928,0.23045525902668762,0.12244897959183673,1.0,0.06521739130434782,0.532608695652174,0.8196033562166285
tfidf_lr,train,0.9553376906318083,0.9185386388477064,0.9732899022801303,1.0,0.9479695431472082,0.9991434010152284,0.9998583124892041
tfidf_lr,validation,0.8664596273291926,0.734522097593711,0.9216757741347905,0.9267399267399268,0.9166666666666666,0.9247794580970383,0.9873829208735546
tfidf_lr,test,0.8450292397660819,0.7768915475794838,0.9001883239171374,0.9372549019607843,0.8659420289855072,0.908102766798419,0.9758693915248562
tfidf_svm,train,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
tfidf_svm,validation,0.8850931677018633,0.7330794219782681,0.9345132743362832,0.9134948096885813,0.9565217391304348,0.9198172652804032,0.9864890819012153
tfidf_svm,test,0.8713450292397661,0.7805262236742314,0.9217081850533808,0.9055944055944056,0.9384057971014492,0.9058519982433025,0.9745976932517284
frozen_embedding_lr,train,0.9438997821350763,0.9001895315862227,0.9662405768600459,0.9993220338983051,0.9352791878172588,0.9879051151893791,0.9981261992856778
frozen_embedding_lr,validation,0.8385093167701864,0.6971275595108892,0.9040590405904059,0.9210526315789473,0.8876811594202898,0.8254568367989918,0.9658219099197389
frozen_embedding_lr,test,0.7865497076023392,0.6381896439285248,0.8698752228163993,0.856140350877193,0.8840579710144928,0.7600461133069829,0.9289040925130453
frozen_embedding_mlp,train,0.9863834422657952,0.9715837156737166,0.9920911104080987,0.9892744479495268,0.9949238578680203,0.9915657946114799,0.9984518877999042
frozen_embedding_mlp,validation,0.8664596273291926,0.6510144927536232,0.9252173913043479,0.8896321070234113,0.9637681159420289,0.8799621928166351,0.9787156304368362
frozen_embedding_mlp,test,0.8304093567251462,0.6711538461538462,0.9,0.8585526315789473,0.9456521739130435,0.8394268774703558,0.9437229308501387
