model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.18514285714285714,0.1750042315952056,0.08354755784061697,0.9848484848484849,0.0436241610738255,0.5198890036138358,0.8572489032220576
regex,validation,0.18351063829787234,0.1726905903516882,0.07807807807807808,1.0,0.040625,0.5203125,0.8571143617021276
regex,test,0.20320855614973263,0.19575696348679464,0.11834319526627218,1.0,0.06289308176100629,0.5314465408805031,0.8596845256112736
tfidf_lr,train,0.96,0.9286504746927602,0.9759450171821306,1.0,0.9530201342281879,0.9995637583892618,0.9999236846028091
tfidf_lr,validation,0.8670212765957447,0.7585781795767413,0.9203821656050956,0.9383116883116883,0.903125,0.9272321428571428,0.9873550345944742
tfidf_lr,test,0.8903743315508021,0.8030947030497593,0.9341894060995185,0.9540983606557377,0.9150943396226415,0.8961141060197665,0.9792779847880717
tfidf_svm,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tfidf_svm,validation,0.8856382978723404,0.7760881908956195,0.9327073552425665,0.9341692789968652,0.93125,0.9248325892857142,0.9868687515521246
tfidf_svm,test,0.8823529411764706,0.7543000477783086,0.9316770186335404,0.9202453987730062,0.9433962264150944,0.9022911051212937,0.9812150034340617
frozen_embedding_lr,train,0.9491428571428572,0.9115367947295809,0.9692148045658942,1.0,0.9402684563758389,0.9887145069695404,0.9981954035448953
frozen_embedding_lr,validation,0.7845744680851063,0.6425645780276269,0.867862969004894,0.9078498293515358,0.83125,0.7718191964285714,0.945154288673357
frozen_embedding_lr,test,0.8074866310160428,0.6564079007808912,0.8842443729903537,0.9046052631578947,0.8647798742138365,0.7889150943396227,0.9514735492941975
frozen_embedding_mlp,train,0.9531428571428572,0.8954462659380693,0.9731147540983607,0.9512820512820512,0.9959731543624161,0.9819540526587507,0.9964915279562561
frozen_embedding_mlp,validation,0.848404255319149,0.5968928094494705,0.9153046062407132,0.8725212464589235,0.9625,0.8592075892857142,0.972984038710224
frozen_embedding_mlp,test,0.8716577540106952,0.6564867967853043,0.9283582089552239,0.8835227272727273,0.9779874213836478,0.8708445642407906,0.9746226874334318
