model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.2609387430389817,0.21108058205923147,0.012752391073326248,1.0,0.006417112299465241,0.5032085561497326,0.7454783692604836
regex,validation,0.10982658959537572,0.10836680053547523,0.07228915662650602,0.9230769230769231,0.03761755485893417,0.5002902589109486,0.922007133787082
regex,test,0.11482720178372352,0.11123839472896077,0.16771488469601678,1.0,0.09153318077803203,0.545766590389016,0.9767059789943084
tfidf_lr,train,0.9522673031026253,0.9406048196566388,0.9669239250275634,0.9977246871444824,0.9379679144385027,0.9975553857906798,0.9991447350794568
tfidf_lr,validation,0.9277456647398844,0.7445891280597632,0.9608763693270735,0.959375,0.9623824451410659,0.9253454081040289,0.9934991487713669
tfidf_lr,test,0.9531772575250836,0.6378892733564013,0.9757785467128027,0.9837209302325581,0.9679633867276888,0.9170231817729578,0.9975678158131299
tfidf_svm,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tfidf_svm,validation,0.9219653179190751,0.649994380128133,0.9585253456221198,0.9397590361445783,0.9780564263322884,0.9319633112736562,0.9940896050900765
tfidf_svm,test,0.9732441471571907,0.6931584948688712,0.9863169897377423,0.9829545454545454,0.9897025171624714,0.9171724206546612,0.9975262933694443
frozen_embedding_lr,train,0.9284009546539379,0.912705639062934,0.9497206703910615,0.9941520467836257,0.9090909090909091,0.979293851928123,0.9935815057408366
frozen_embedding_lr,validation,0.8005780346820809,0.5714362647423125,0.8848080133555927,0.9464285714285714,0.8307210031347962,0.7387669801462904,0.9670440399305777
frozen_embedding_lr,test,0.862876254180602,0.538566738462182,0.9254093389933293,0.984516129032258,0.8729977116704806,0.7732563923987663,0.9918384718770794
frozen_embedding_mlp,train,0.918854415274463,0.8825285309057326,0.9478527607361963,0.9079333986287953,0.9914438502673797,0.9750556349021822,0.9907568300037568
frozen_embedding_mlp,validation,0.9075144508670521,0.5754601226993865,0.950920245398773,0.9309309309309309,0.9717868338557993,0.8014629049111808,0.9759855214511117
frozen_embedding_mlp,test,0.9643255295429208,0.6430205949656751,0.9816933638443935,0.9816933638443935,0.9816933638443935,0.8452890259675654,0.9940539053142214
