model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.5814469596094097,0.4746021826753513,0.23767178658043653,0.8802395209580839,0.13738317757009347,0.5602385034088845,0.5306060899841245
regex,validation,0.6917293233082706,0.47022248129796945,0.1276595744680851,0.375,0.07692307692307693,0.5118657937806873,0.29952284557547715
regex,test,0.5964912280701754,0.45556478405315615,0.17857142857142858,1.0,0.09803921568627451,0.5490196078431373,0.5015479876160991
tfidf_lr,train,0.9485130936529073,0.9484362052229087,0.9464450600184672,0.9352189781021898,0.9579439252336449,0.9914331534748501,0.990755920967435
tfidf_lr,validation,0.8120300751879699,0.7781114447781114,0.691358024691358,0.6666666666666666,0.717948717948718,0.8955264593562466,0.8228772490926012
tfidf_lr,test,0.8771929824561403,0.8732931089234678,0.851063829787234,0.9302325581395349,0.7843137254901961,0.9408652349828821,0.9392382571136274
tfidf_svm,train,0.9893475366178429,0.9893216169716618,0.988795518207283,0.9878731343283582,0.9897196261682243,0.9996634566009116,0.9996320185446208
tfidf_svm,validation,0.8270676691729323,0.7958625291958625,0.7160493827160493,0.6904761904761905,0.7435897435897436,0.8955264593562466,0.823206633406352
tfidf_svm,test,0.9210526315789473,0.919661733615222,0.9090909090909091,0.9375,0.8823529411764706,0.9439775910364145,0.9504950706486609
frozen_embedding_lr,train,0.8371060807811807,0.8369575569592922,0.8320366132723113,0.8152466367713005,0.8495327102803738,0.9172490342152456,0.9074135825795421
frozen_embedding_lr,validation,0.7669172932330827,0.720909767819671,0.6075949367088608,0.6,0.6153846153846154,0.7935079105291871,0.6873517042617993
frozen_embedding_lr,test,0.7280701754385965,0.7263646922183508,0.7047619047619048,0.6851851851851852,0.7254901960784313,0.7902272019919079,0.7053140175790088
frozen_embedding_mlp,train,0.9800266311584553,0.9799735429930314,0.9789424426766495,0.9803186504217432,0.9775700934579439,0.9933110024411247,0.9925916989821632
frozen_embedding_mlp,validation,0.7518796992481203,0.7071071071071071,0.5925925925925926,0.5714285714285714,0.6153846153846154,0.8030551009274414,0.6607527096296971
frozen_embedding_mlp,test,0.8070175438596491,0.8031397174254318,0.7755102040816326,0.8085106382978723,0.7450980392156863,0.8415810768751946,0.7708506295869679
