model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.5959654178674352,0.4804858910401559,0.23555070883315157,0.8372093023255814,0.13705583756345177,0.5574402735863722,0.506675257881016
regex,validation,0.535,0.43249427917620137,0.19130434782608696,0.88,0.1073170731707317,0.5459662288930582,0.5519390243902439
regex,test,0.6082191780821918,0.49638656516243573,0.25906735751295334,0.9615384615384616,0.1497005988023952,0.5723250468759451,0.5329839793542526
tfidf_lr,train,0.9544668587896253,0.9541936236347734,0.9506558400999375,0.9360393603936039,0.9657360406091371,0.9931308594064077,0.9919307750935136
tfidf_lr,validation,0.8125,0.8120759964670288,0.8210023866348448,0.8037383177570093,0.8390243902439024,0.8930581613508443,0.8837792193448777
tfidf_lr,test,0.8054794520547945,0.8054794520547945,0.8054794520547945,0.7424242424242424,0.8802395209580839,0.8974172866388435,0.8759062909695582
tfidf_svm,train,0.9936599423631124,0.9936041817960637,0.993006993006993,0.9949044585987261,0.9911167512690355,0.9998847549568769,0.9998616535580963
tfidf_svm,validation,0.83,0.8292787025181392,0.8403755868544601,0.8099547511312217,0.8731707317073171,0.9029893683552219,0.8985517496625915
tfidf_svm,test,0.8191780821917808,0.8191441441441442,0.8216216216216217,0.7487684729064039,0.9101796407185628,0.9054618036653965,0.8868940606135891
frozen_embedding_lr,train,0.8720461095100864,0.8712897689451355,0.8614232209737828,0.8476658476658476,0.8756345177664975,0.9468197728332591,0.9382477794826156
frozen_embedding_lr,validation,0.6575,0.6572407883461868,0.6666666666666666,0.6650485436893204,0.6682926829268293,0.7049906191369606,0.6951386157810127
frozen_embedding_lr,test,0.6904109589041096,0.6888320545609548,0.6666666666666666,0.6569767441860465,0.6766467065868264,0.7375249500998005,0.6881084251961724
frozen_embedding_mlp,train,0.9804034582132565,0.9802578560279301,0.978562421185372,0.9724310776942355,0.9847715736040609,0.9936568324229867,0.9914071223078085
frozen_embedding_mlp,validation,0.7025,0.7021854333639908,0.711864406779661,0.7067307692307693,0.7170731707317073,0.7397623514696685,0.7161309898656687
frozen_embedding_mlp,test,0.7013698630136986,0.7000731253156827,0.6803519061583577,0.6666666666666666,0.6946107784431138,0.7690679247565474,0.7055280369375251
