model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.5668761220825853,0.46480370302607127,0.23107569721115537,0.8579881656804734,0.13351749539594843,0.5562508667872912,0.5369083160597641
regex,validation,0.8518518518518519,0.5591836734693878,0.2,1.0,0.1111111111111111,0.5555555555555556,0.25925925925925924
regex,test,0.7385321100917431,0.5410526315789473,0.24,0.9,0.13846153846153847,0.5659627953745601,0.38149611856033877
tfidf_lr,train,0.9447935368043088,0.9447865850525823,0.94416704493872,0.9310653536257834,0.9576427255985267,0.9908330188709672,0.9906954021204434
tfidf_lr,validation,0.8333333333333334,0.7514066496163683,0.6086956521739131,0.5,0.7777777777777778,0.9185185185185185,0.7906724247303958
tfidf_lr,test,0.8302752293577982,0.7904880646250552,0.6991869918699187,0.7413793103448276,0.6615384615384615,0.9213675213675214,0.843026112934812
tfidf_svm,train,0.9860861759425493,0.9860788816344153,0.9857602204869086,0.9835013748854262,0.9880294659300184,0.9994331614272398,0.9994164771839393
tfidf_svm,validation,0.7962962962962963,0.7137349397590362,0.56,0.4375,0.7777777777777778,0.925925925925926,0.8320105820105821
tfidf_svm,test,0.8623853211009175,0.8397058823529412,0.7794117647058824,0.7464788732394366,0.8153846153846154,0.9393665158371041,0.8871626254119253
frozen_embedding_lr,train,0.8406642728904847,0.840657050432948,0.8395842747401717,0.8243123336291038,0.8554327808471455,0.9190831890031704,0.913251620829571
frozen_embedding_lr,validation,0.7222222222222222,0.6606619187264349,0.5161290322580645,0.36363636363636365,0.8888888888888888,0.7358024691358024,0.4685445789160959
frozen_embedding_lr,test,0.6788990825688074,0.6486137975499677,0.5454545454545454,0.47191011235955055,0.6461538461538462,0.7584715937657115,0.6165194615429687
frozen_embedding_mlp,train,0.9838420107719928,0.9838362668321841,0.9835315645013724,0.9772727272727273,0.9898710865561694,0.9946347882458805,0.9938798948179817
frozen_embedding_mlp,validation,0.6851851851851852,0.6154168412232929,0.45161290322580644,0.3181818181818182,0.7777777777777778,0.8296296296296296,0.5598603293725246
frozen_embedding_mlp,test,0.7339449541284404,0.6792816558441559,0.546875,0.5555555555555556,0.5384615384615384,0.7506284565108093,0.5763952733964859
