model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.5725149375339489,0.46735905317229853,0.23069403714565004,0.8613138686131386,0.13318284424379231,0.5566437781428386,0.5318768152734865
regex,validation,0.5646687697160884,0.41334084325716125,0.11538461538461539,0.8181818181818182,0.06206896551724138,0.5252205292702485,0.4798057810784886
regex,test,0.6929824561403509,0.5735306343004406,0.34782608695652173,0.875,0.21705426356589147,0.5991374604214433,0.48524411804705564
tfidf_lr,train,0.9456816947311244,0.9456431878306879,0.9441964285714286,0.9337748344370861,0.9548532731376975,0.991547398153948,0.9911653929642497
tfidf_lr,validation,0.8138801261829653,0.8138134251839169,0.8102893890675241,0.7590361445783133,0.8689655172413793,0.8900962309542904,0.8767072373457114
tfidf_lr,test,0.8801169590643275,0.8753322960657924,0.850909090909091,0.8013698630136986,0.9069767441860465,0.9385668013247442,0.8713806067524584
tfidf_svm,train,0.9907658881042911,0.9907532727836232,0.9904117315284828,0.9898534385569335,0.9909706546275395,0.9996619904742771,0.9996394193468442
tfidf_svm,validation,0.8201892744479495,0.8201248344997163,0.8235294117647058,0.7471910112359551,0.9172413793103448,0.9044105854049719,0.8918420458531704
tfidf_svm,test,0.8713450292397661,0.866973125884017,0.8428571428571429,0.7814569536423841,0.9147286821705426,0.940168140626706,0.8628955134575359
frozen_embedding_lr,train,0.8620315046170559,0.8619082550167501,0.8577827547592385,0.8511111111111112,0.8645598194130926,0.9312942455651023,0.9227827632310714
frozen_embedding_lr,validation,0.6593059936908517,0.6585414505704938,0.6746987951807228,0.5989304812834224,0.7724137931034483,0.7158781074578989,0.6250677149403229
frozen_embedding_lr,test,0.6871345029239766,0.6800188872275124,0.6323024054982818,0.5679012345679012,0.7131782945736435,0.7874586017396367,0.6955006187738155
frozen_embedding_mlp,train,0.9826181423139598,0.9825936912767541,0.981941309255079,0.981941309255079,0.981941309255079,0.9924905156418045,0.988934979247775
frozen_embedding_mlp,validation,0.7003154574132492,0.7002677336199775,0.7040498442367601,0.6420454545454546,0.7793103448275862,0.7512830793905373,0.683610975917587
frozen_embedding_mlp,test,0.7456140350877193,0.7419047040760562,0.7109634551495017,0.622093023255814,0.8294573643410853,0.8447428758598101,0.7559640327931484
