model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.5834285714285714,0.469493870330704,0.22364217252396165,0.8267716535433071,0.12931034482758622,0.5529280935225351,0.5109101276133587
regex,validation,0.598404255319149,0.4905560490636805,0.2561576354679803,0.9285714285714286,0.14857142857142858,0.5693105899076049,0.5342357794181503
regex,test,0.5989304812834224,0.48484848484848486,0.24242424242424243,0.96,0.13872832369942195,0.5668765996606563,0.5315749126765787
tfidf_lr,train,0.9485714285714286,0.9483748061187163,0.9451887941534713,0.9349397590361446,0.9556650246305419,0.991095717751846,0.9899230070491305
tfidf_lr,validation,0.7606382978723404,0.7606315253374076,0.7593582887700535,0.7135678391959799,0.8114285714285714,0.8819616204690832,0.8586602237274973
tfidf_lr,test,0.8262032085561497,0.8259231942485195,0.8189415041782729,0.7903225806451613,0.8497109826589595,0.9059902798147987,0.8740405333642043
tfidf_svm,train,0.9902857142857143,0.9902405867588874,0.9895769466584917,0.9853479853479854,0.9938423645320197,0.9996914617622654,0.9996447467724477
tfidf_svm,validation,0.7712765957446809,0.7712765957446809,0.7712765957446809,0.7213930348258707,0.8285714285714286,0.8849751243781094,0.8703043791125674
tfidf_svm,test,0.8368983957219251,0.8368972296693477,0.8373333333333334,0.7772277227722773,0.9075144508670521,0.9275012222126362,0.9139057928790241
frozen_embedding_lr,train,0.8628571428571429,0.862540436021737,0.8559423769507803,0.8348946135831382,0.8780788177339901,0.9355141953847931,0.9260137036913789
frozen_embedding_lr,validation,0.7207446808510638,0.7204104612377573,0.7107438016528925,0.6861702127659575,0.7371428571428571,0.763496801705757,0.687140744121914
frozen_embedding_lr,test,0.7058823529411765,0.7051994955285485,0.6910112359550562,0.6721311475409836,0.7109826589595376,0.7834814367469013,0.7580513787595491
frozen_embedding_mlp,train,0.9051428571428571,0.9048913043478262,0.9,0.8808962264150944,0.9199507389162561,0.9597797430861176,0.9558193515425538
frozen_embedding_mlp,validation,0.7127659574468085,0.7113859275053305,0.6914285714285714,0.6914285714285714,0.6914285714285714,0.8119402985074627,0.7704879189680421
frozen_embedding_mlp,test,0.6764705882352942,0.6725351857881978,0.6366366366366366,0.6625,0.6127167630057804,0.7865010209070254,0.7068754859524357
