model,split,accuracy,macro_f1,positive_f1,precision,recall,roc_auc,pr_auc
regex,train,0.7374701670644391,0.5172406569465393,0.19117647058823528,0.7647058823529411,0.1092436974789916,0.5479551820728292,0.33652259162825593
regex,validation,0.49710982658959535,0.42570970695970695,0.22321428571428573,0.8064516129032258,0.12953367875647667,0.5451589962409835,0.5900117771064258
regex,test,0.4136008918617614,0.3863579611074695,0.2570621468926554,0.9285714285714286,0.14918032786885246,0.5623950419832067,0.7171199078896868
tfidf_lr,train,0.9745425616547335,0.9692128708324403,0.9564032697547684,0.9310344827586207,0.9831932773109243,0.9987177093059445,0.9968967135226484
tfidf_lr,validation,0.8005780346820809,0.7907459834693359,0.836104513064133,0.7719298245614035,0.9119170984455959,0.885299197399167,0.9023491642502067
tfidf_lr,test,0.7959866220735786,0.7379976856470213,0.8612585291887794,0.8011283497884344,0.9311475409836065,0.8079168332666933,0.8848030486555944
tfidf_svm,train,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tfidf_svm,validation,0.8063583815028902,0.7957083057942278,0.8423529411764706,0.771551724137931,0.927461139896373,0.8881099935656473,0.9056514769846304
tfidf_svm,test,0.8082497212931996,0.7463935827470577,0.8716417910447761,0.8,0.9573770491803278,0.8298623407779743,0.8988789269528581
frozen_embedding_lr,train,0.9514717581543357,0.9421756472123997,0.9189907038512616,0.8737373737373737,0.969187675070028,0.9860099595393712,0.949311857940663
frozen_embedding_lr,validation,0.6184971098265896,0.618037667681397,0.6312849162011173,0.6848484848484848,0.5854922279792746,0.6671407768634223,0.6901415240473763
frozen_embedding_lr,test,0.5618729096989966,0.5403736507021759,0.6397800183318056,0.7255717255717256,0.5721311475409836,0.5805963328954132,0.7157566191618547
frozen_embedding_mlp,train,0.8560063643595863,0.818733074718619,0.7365356622998545,0.7666666666666667,0.7086834733893558,0.9138686585745409,0.8297032193469961
frozen_embedding_mlp,validation,0.6589595375722543,0.6585488241394306,0.6467065868263473,0.7659574468085106,0.5595854922279793,0.7252531409800534,0.7464774871870021
frozen_embedding_mlp,test,0.5975473801560758,0.5846609674916148,0.6578199052132702,0.7797752808988764,0.5688524590163935,0.6605757696921231,0.784485922271173
