model,split,accuracy,macro_f1,weighted_f1
regex,train,0.7363515312916112,0.6959703211644688,0.7357693813428714
regex,validation,0.631578947368421,0.6294902035523567,0.6278197747757887
regex,test,0.6666666666666666,0.6289237734074139,0.6580907946439576
tfidf_lr,train,0.9813581890812251,0.9814895823323901,0.9813594704965818
tfidf_lr,validation,0.45864661654135336,0.37559150876001857,0.4162458497450145
tfidf_lr,test,0.5263157894736842,0.3999087068707321,0.4941586314004702
tfidf_svm,train,1.0,1.0,1.0
tfidf_svm,validation,0.45864661654135336,0.3465719063545151,0.4073962079110821
tfidf_svm,test,0.5350877192982456,0.4001687868548333,0.48201747411661733
frozen_embedding_lr,train,0.8069241011984021,0.8091829062834687,0.8065734444708602
frozen_embedding_lr,validation,0.3383458646616541,0.29180128000900124,0.33632933663681525
frozen_embedding_lr,test,0.39473684210526316,0.3435166735851667,0.39650801453613277
frozen_embedding_mlp,train,0.9587217043941412,0.9561492095516476,0.9586917582531048
frozen_embedding_mlp,validation,0.37593984962406013,0.3190571264716667,0.36236830286229177
frozen_embedding_mlp,test,0.3508771929824561,0.2640067191150783,0.34046004870511953
