model,split,accuracy,macro_f1,weighted_f1
regex,train,0.7164265129682997,0.6825946786961263,0.7176661605231478
regex,validation,0.7875,0.729535890059284,0.7869685115562904
regex,test,0.7150684931506849,0.6678321442028019,0.7064590510698335
tfidf_lr,train,0.9896253602305476,0.9891849836474669,0.9896240697363745
tfidf_lr,validation,0.5,0.4047814449203136,0.4614763568304566
tfidf_lr,test,0.5178082191780822,0.41315329682248275,0.46583535308012103
tfidf_svm,train,1.0,1.0,1.0
tfidf_svm,validation,0.4875,0.37656605331580645,0.4267403975796798
tfidf_svm,test,0.5013698630136987,0.3678130777531266,0.427292402218647
frozen_embedding_lr,train,0.8968299711815562,0.9033067433845748,0.8956928304245367
frozen_embedding_lr,validation,0.315,0.2880249410306847,0.32119312083411466
frozen_embedding_lr,test,0.2958904109589041,0.26937210752964386,0.2991480572409509
frozen_embedding_mlp,train,0.9613832853025936,0.9596504909650806,0.9613568538427434
frozen_embedding_mlp,validation,0.3475,0.2831633731132331,0.3249051698045158
frozen_embedding_mlp,test,0.38904109589041097,0.3256634361314164,0.3686291613931806
