model,split,accuracy,macro_f1,weighted_f1
regex,train,0.7329443447037702,0.6895297065636593,0.7308677361778683
regex,validation,0.5925925925925926,0.5619460604754724,0.6281704134645311
regex,test,0.7064220183486238,0.6955928382685915,0.7123730580673178
tfidf_lr,train,0.9802513464991023,0.9799317143002323,0.9802445347688497
tfidf_lr,validation,0.46296296296296297,0.3517704517704518,0.4269569936236603
tfidf_lr,test,0.5229357798165137,0.3945976856046278,0.4992115009881872
tfidf_svm,train,1.0,1.0,1.0
tfidf_svm,validation,0.4074074074074074,0.3241366041366041,0.37543904655015764
tfidf_svm,test,0.518348623853211,0.36613013296655,0.48496832864403366
frozen_embedding_lr,train,0.7939856373429084,0.7915001494826618,0.7944906929315719
frozen_embedding_lr,validation,0.2777777777777778,0.2730991230991231,0.27612757612757616
frozen_embedding_lr,test,0.3853211009174312,0.33552390236615803,0.3994801747887716
frozen_embedding_mlp,train,0.9560143626570916,0.9514781202886969,0.9559892012573634
frozen_embedding_mlp,validation,0.3148148148148148,0.27120715435932824,0.2854043657183754
frozen_embedding_mlp,test,0.3394495412844037,0.2624660404538257,0.33921842228310256
