model,split,accuracy,macro_f1,weighted_f1
regex,train,0.7312703583061889,0.6884532339934881,0.7299200753005721
regex,validation,0.7373417721518988,0.7006707450726509,0.7414861737803787
regex,test,0.6988304093567251,0.6773264822202005,0.6951054592917885
tfidf_lr,train,0.9815418023887079,0.9819843652197755,0.9816070989533144
tfidf_lr,validation,0.47468354430379744,0.36461433928874154,0.4180816834077195
tfidf_lr,test,0.5555555555555556,0.45520390423241847,0.5091454527367566
tfidf_svm,train,1.0,1.0,1.0
tfidf_svm,validation,0.5158227848101266,0.4022209192716391,0.45239290205734134
tfidf_svm,test,0.5321637426900585,0.4091580389772205,0.4718949867997129
frozen_embedding_lr,train,0.8783930510314875,0.8824277761341106,0.8778714458109472
frozen_embedding_lr,validation,0.27531645569620256,0.251564018031127,0.2803804273536873
frozen_embedding_lr,test,0.37719298245614036,0.3504878850232059,0.38219784368780413
frozen_embedding_mlp,train,0.9321389793702497,0.9289288792803995,0.9319224674611118
frozen_embedding_mlp,validation,0.36075949367088606,0.3142346439250464,0.3481891243659868
frozen_embedding_mlp,test,0.4093567251461988,0.33380741767339095,0.38905310156324413
