model,split,accuracy,macro_f1,weighted_f1
regex,train,0.7331428571428571,0.6958655394182793,0.7322880005304939
regex,validation,0.7393617021276596,0.704066958201048,0.7353996220192213
regex,test,0.6898395721925134,0.640709268368469,0.6891732182303487
tfidf_lr,train,0.9874285714285714,0.9879907801117326,0.9874243965278593
tfidf_lr,validation,0.5079787234042553,0.3998969564669732,0.4637501271043653
tfidf_lr,test,0.5294117647058824,0.4402621351861991,0.4952353751064322
tfidf_svm,train,1.0,1.0,1.0
tfidf_svm,validation,0.4920212765957447,0.3748297681290009,0.4367529383424251
tfidf_svm,test,0.5240641711229946,0.4033720127582703,0.4626831785011963
frozen_embedding_lr,train,0.8954285714285715,0.8974382014300196,0.8951023285089572
frozen_embedding_lr,validation,0.30851063829787234,0.272419058250162,0.3131932969987665
frozen_embedding_lr,test,0.32887700534759357,0.3015488179563937,0.3301510835272986
frozen_embedding_mlp,train,0.9497142857142857,0.9458899442356996,0.9495061421309413
frozen_embedding_mlp,validation,0.38563829787234044,0.31410118469584575,0.36116629278524764
frozen_embedding_mlp,test,0.3716577540106952,0.30636098311705956,0.3453420443871907
