model,split,accuracy,macro_f1,weighted_f1
regex,train,0.6674622116149562,0.6651110885184821,0.6647139991777344
regex,validation,0.7398843930635838,0.6697484162528755,0.7392859469810836
regex,test,0.8071348940914158,0.6292980448294218,0.800633980626185
tfidf_lr,train,0.9928400954653938,0.993952553716552,0.9928369484798806
tfidf_lr,validation,0.4797687861271676,0.34211587138510996,0.43065349220622046
tfidf_lr,test,0.5562987736900781,0.3447198914017264,0.511066878752525
tfidf_svm,train,1.0,1.0,1.0
tfidf_svm,validation,0.49421965317919075,0.3611570507705773,0.4437588059486088
tfidf_svm,test,0.5707915273132664,0.36547944177288266,0.5263278991980679
frozen_embedding_lr,train,0.9864757358790772,0.9881957060990123,0.9864412288293359
frozen_embedding_lr,validation,0.2976878612716763,0.2659649965753779,0.311412096541814
frozen_embedding_lr,test,0.2931995540691193,0.23088486713649795,0.31389022019701274
frozen_embedding_mlp,train,0.9363564041368337,0.9355100647905563,0.9361385449493299
frozen_embedding_mlp,validation,0.31213872832369943,0.27154925953541353,0.31678287815073647
frozen_embedding_mlp,test,0.30211817168338906,0.22764419577537356,0.3239338164666673
