result_dir,target,split_folder,split_col,model,task_type,train_rows,validation_rows,test_rows,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_numeric_features,n_categorical_features,positive_label,macro_ovr_roc_auc
integration_binary/random_cluster_stratified,target_integration_binary,random_cluster_stratified,split_random_cluster_stratified,dummy,binary,1750,376,374,0.5374331550802139,0.3495652173913043,0.3757358753778191,0.0,0.0,0.0,0.5,0.4625668449197861,118,6,1.0,
integration_binary/random_cluster_stratified,target_integration_binary,random_cluster_stratified,split_random_cluster_stratified,graph_lr,binary,1750,376,374,0.7165775401069518,0.716504576659039,0.7168450727492995,0.7119565217391305,0.6717948717948717,0.7572254335260116,0.7793402927558739,0.6833505130688258,118,6,1.0,
integration_binary/random_cluster_stratified,target_integration_binary,random_cluster_stratified,split_random_cluster_stratified,graph_rf,binary,1750,376,374,0.7058823529411765,0.7055792517104171,0.7062864879155224,0.6961325966850829,0.6666666666666666,0.7283236994219653,0.7836539844131941,0.7003389972180682,118,6,1.0,
integration_binary/random_cluster_stratified,target_integration_binary,random_cluster_stratified,split_random_cluster_stratified,graph_extra_trees,binary,1750,376,374,0.7299465240641712,0.7296198472517483,0.7303234588477361,0.7202216066481995,0.6914893617021277,0.7514450867052023,0.7889166882351251,0.697167840629031,118,6,1.0,
integration_binary/temporal_cluster_safe,target_integration_binary,temporal_cluster_safe,split_temporal_cluster_safe,dummy,binary,1257,346,897,0.3199554069119286,0.2423986486486486,0.15511351652656,0.0,0.0,0.0,0.5,0.6800445930880713,118,6,1.0,
integration_binary/temporal_cluster_safe,target_integration_binary,temporal_cluster_safe,split_temporal_cluster_safe,graph_lr,binary,1257,346,897,0.673355629877369,0.5243962685824414,0.6202406384992972,0.7905646890636169,0.7008871989860583,0.9065573770491804,0.567161706745873,0.7056184417566156,118,6,1.0,
integration_binary/temporal_cluster_safe,target_integration_binary,temporal_cluster_safe,split_temporal_cluster_safe,graph_rf,binary,1257,346,897,0.6098104793756968,0.5411429406606256,0.6050611395222049,0.7186495176848875,0.7050473186119873,0.7327868852459016,0.5532244245159079,0.7023308898348453,118,6,1.0,
integration_binary/temporal_cluster_safe,target_integration_binary,temporal_cluster_safe,split_temporal_cluster_safe,graph_extra_trees,binary,1257,346,897,0.6744704570791528,0.560353162347254,0.6410093684706747,0.7843426883308715,0.7137096774193549,0.8704918032786885,0.5664248586279774,0.7143711286564405,118,6,1.0,
integration_binary/cross_program_cluster_safe,target_integration_binary,cross_program_cluster_safe,split_cross_program_cluster_safe,dummy,binary,2228,54,218,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.0,0.0,0.0,0.5,0.2981651376146789,118,6,1.0,
integration_binary/cross_program_cluster_safe,target_integration_binary,cross_program_cluster_safe,split_cross_program_cluster_safe,graph_lr,binary,2228,54,218,0.6651376146788991,0.5866386139899737,0.6593534777860309,0.4065040650406504,0.4310344827586206,0.3846153846153846,0.6463549522373052,0.4040870652933691,118,6,1.0,
integration_binary/cross_program_cluster_safe,target_integration_binary,cross_program_cluster_safe,split_cross_program_cluster_safe,graph_rf,binary,2228,54,218,0.6651376146788991,0.6017019146539857,0.6658667606561969,0.4427480916030534,0.4393939393939394,0.4461538461538462,0.6561085972850679,0.4712987488179738,118,6,1.0,
integration_binary/cross_program_cluster_safe,target_integration_binary,cross_program_cluster_safe,split_cross_program_cluster_safe,graph_extra_trees,binary,2228,54,218,0.6422018348623854,0.5832352941176471,0.6465164597949271,0.4264705882352941,0.4084507042253521,0.4461538461538462,0.6633484162895927,0.4570017141781802,118,6,1.0,
integration_binary/cold_start_pi_cluster_safe,target_integration_binary,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,dummy,binary,1735,400,365,0.5424657534246575,0.3516873889875666,0.3815567288741818,0.0,0.0,0.0,0.5,0.4575342465753425,118,6,1.0,
integration_binary/cold_start_pi_cluster_safe,target_integration_binary,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,graph_lr,binary,1735,400,365,0.7178082191780822,0.71777432455765,0.7180370078659994,0.7146814404432132,0.6649484536082474,0.7724550898203593,0.772243392003871,0.6753584428321056,118,6,1.0,
integration_binary/cold_start_pi_cluster_safe,target_integration_binary,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,graph_rf,binary,1735,400,365,0.7150684931506849,0.7139325978175679,0.7154635871795952,0.695906432748538,0.68,0.7125748502994012,0.7717595112804694,0.6617289009476239,118,6,1.0,
integration_binary/cold_start_pi_cluster_safe,target_integration_binary,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,graph_extra_trees,binary,1735,400,365,0.7287671232876712,0.7284736363568053,0.7292318109282091,0.7195467422096318,0.6827956989247311,0.7604790419161677,0.7750559487086432,0.6640437904291487,118,6,1.0,
integration_binary/cold_start_institution_cluster_safe,target_integration_binary,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,dummy,binary,2253,133,114,0.5526315789473685,0.3559322033898305,0.3933987511150758,0.0,0.0,0.0,0.5,0.4473684210526316,118,6,1.0,
integration_binary/cold_start_institution_cluster_safe,target_integration_binary,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,graph_lr,binary,2253,133,114,0.7719298245614035,0.7684375,0.7714309210526317,0.74,0.7551020408163265,0.7254901960784313,0.8117024587612822,0.7509264875094395,118,6,1.0,
integration_binary/cold_start_institution_cluster_safe,target_integration_binary,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,graph_rf,binary,2253,133,114,0.7368421052631579,0.7328125,0.736266447368421,0.7,0.7142857142857143,0.6862745098039216,0.8073451602863368,0.7614187663630463,118,6,1.0,
integration_binary/cold_start_institution_cluster_safe,target_integration_binary,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,graph_extra_trees,binary,2253,133,114,0.7719298245614035,0.7684375,0.7714309210526317,0.74,0.7551020408163265,0.7254901960784313,0.8319327731092436,0.7918173651245453,118,6,1.0,
integration_binary/edu_to_eng_cluster_safe,target_integration_binary,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,dummy,binary,2158,0,342,0.6228070175438597,0.3837837837837838,0.4780464675201517,0.0,0.0,0.0,0.5,0.3771929824561403,118,6,1.0,
integration_binary/edu_to_eng_cluster_safe,target_integration_binary,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,graph_lr,binary,2158,0,342,0.5467836257309941,0.5338345864661653,0.5147517917601019,0.6115288220551378,0.4518518518518518,0.9457364341085271,0.6835899115623977,0.5046070972135875,118,6,1.0,
integration_binary/edu_to_eng_cluster_safe,target_integration_binary,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,graph_rf,binary,2158,0,342,0.6432748538011696,0.6167328042328042,0.6415053838299453,0.5158730158730159,0.5284552845528455,0.5038759689922481,0.6817702078101684,0.5173702872126311,118,6,1.0,
integration_binary/edu_to_eng_cluster_safe,target_integration_binary,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,graph_extra_trees,binary,2158,0,342,0.6637426900584795,0.6016771488469601,0.6402957078230166,0.4444444444444444,0.5897435897435898,0.3565891472868217,0.6913782436219384,0.5278807427225596,118,6,1.0,
design_binary/random_cluster_stratified,target_design_binary,random_cluster_stratified,split_random_cluster_stratified,dummy,binary,1750,376,374,0.8502673796791443,0.4595375722543353,0.7814596148496183,0.9190751445086706,0.8502673796791443,1.0,0.5,0.8502673796791443,118,6,1.0,
design_binary/random_cluster_stratified,target_design_binary,random_cluster_stratified,split_random_cluster_stratified,graph_lr,binary,1750,376,374,0.7887700534759359,0.6620804025847773,0.8070266407222599,0.8689883913764511,0.9192982456140352,0.8238993710691824,0.8004829290206649,0.9489166445182112,118,6,1.0,
design_binary/random_cluster_stratified,target_design_binary,random_cluster_stratified,split_random_cluster_stratified,graph_rf,binary,1750,376,374,0.839572192513369,0.6349795041967597,0.8264198054073012,0.908256880733945,0.8839285714285714,0.9339622641509434,0.8009883198562444,0.9489892497624476,118,6,1.0,
design_binary/random_cluster_stratified,target_design_binary,random_cluster_stratified,split_random_cluster_stratified,graph_extra_trees,binary,1750,376,374,0.8235294117647058,0.6809863523573201,0.8303714786162605,0.8942307692307693,0.9117647058823528,0.8773584905660378,0.8094676549865228,0.9570610011259284,118,6,1.0,
design_binary/temporal_cluster_safe,target_design_binary,temporal_cluster_safe,split_temporal_cluster_safe,dummy,binary,1257,346,897,0.9743589743589745,0.4935064935064935,0.9617049617049616,0.987012987012987,0.9743589743589745,1.0,0.5,0.9743589743589745,118,6,1.0,
design_binary/temporal_cluster_safe,target_design_binary,temporal_cluster_safe,split_temporal_cluster_safe,graph_lr,binary,1257,346,897,0.9241917502787068,0.5442890442890442,0.9390353236507082,0.9603729603729604,0.978622327790974,0.94279176201373,0.6867475873047458,0.98248369905912,118,6,1.0,
design_binary/temporal_cluster_safe,target_design_binary,temporal_cluster_safe,split_temporal_cluster_safe,graph_rf,binary,1257,346,897,0.9654403567447044,0.4912081678956324,0.9572261733350786,0.9824163357912647,0.9741282339707537,0.9908466819221968,0.5812854442344045,0.9818092013409536,118,6,1.0,
design_binary/temporal_cluster_safe,target_design_binary,temporal_cluster_safe,split_temporal_cluster_safe,graph_extra_trees,binary,1257,346,897,0.9576365663322184,0.5141676168757127,0.9545317662193374,0.9783352337514252,0.975,0.9816933638443937,0.6902795741717241,0.9887606912344904,118,6,1.0,
design_binary/cross_program_cluster_safe,target_design_binary,cross_program_cluster_safe,split_cross_program_cluster_safe,dummy,binary,2228,54,218,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.8247978436657682,0.7018348623853211,1.0,0.5,0.7018348623853211,118,6,1.0,
design_binary/cross_program_cluster_safe,target_design_binary,cross_program_cluster_safe,split_cross_program_cluster_safe,graph_lr,binary,2228,54,218,0.5688073394495413,0.5281385281385281,0.5840581436911713,0.6666666666666666,0.7286821705426356,0.6143790849673203,0.6283559577677225,0.8089953706922055,118,6,1.0,
design_binary/cross_program_cluster_safe,target_design_binary,cross_program_cluster_safe,split_cross_program_cluster_safe,graph_rf,binary,2228,54,218,0.6651376146788991,0.5639880544672458,0.64876101921606,0.7739938080495357,0.7352941176470589,0.8169934640522876,0.6496732026143791,0.820428954613136,118,6,1.0,
design_binary/cross_program_cluster_safe,target_design_binary,cross_program_cluster_safe,split_cross_program_cluster_safe,graph_extra_trees,binary,2228,54,218,0.6376146788990825,0.579571808705417,0.6426307294096462,0.7357859531772575,0.7534246575342466,0.7189542483660131,0.6509803921568628,0.8299954060102201,118,6,1.0,
design_binary/cold_start_pi_cluster_safe,target_design_binary,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,dummy,binary,1735,400,365,0.8493150684931506,0.4592592592592592,0.7801116184677829,0.9185185185185184,0.8493150684931506,1.0,0.5,0.8493150684931506,118,6,1.0,
design_binary/cold_start_pi_cluster_safe,target_design_binary,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,graph_lr,binary,1735,400,365,0.8027397260273973,0.6885665529010239,0.8203048295853009,0.8771331058020477,0.9311594202898552,0.8290322580645161,0.7972434017595307,0.9552861641995232,118,6,1.0,
design_binary/cold_start_pi_cluster_safe,target_design_binary,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,graph_rf,binary,1735,400,365,0.8328767123287671,0.6435832172757687,0.825048785841613,0.9033280507131536,0.8878504672897196,0.9193548387096774,0.8257478005865102,0.964299063951266,118,6,1.0,
design_binary/cold_start_pi_cluster_safe,target_design_binary,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,graph_extra_trees,binary,1735,400,365,0.8136986301369863,0.6778965946843853,0.824012708778956,0.8870431893687708,0.9143835616438356,0.8612903225806452,0.8186510263929621,0.962868199966353,118,6,1.0,
design_binary/cold_start_institution_cluster_safe,target_design_binary,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,dummy,binary,2253,133,114,0.8421052631578947,0.4571428571428571,0.7699248120300752,0.9142857142857144,0.8421052631578947,1.0,0.5,0.8421052631578947,118,6,1.0,
design_binary/cold_start_institution_cluster_safe,target_design_binary,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,graph_lr,binary,2253,133,114,0.6754385964912281,0.5859428683616374,0.7176535625900916,0.7784431137724551,0.9154929577464788,0.6770833333333334,0.7505787037037037,0.9501352125582944,118,6,1.0,
design_binary/cold_start_institution_cluster_safe,target_design_binary,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,graph_rf,binary,2253,133,114,0.7807017543859649,0.5967171359841517,0.7830911650145599,0.8691099476439791,0.8736842105263158,0.8645833333333334,0.7528935185185186,0.9376109271276928,118,6,1.0,
design_binary/cold_start_institution_cluster_safe,target_design_binary,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,graph_extra_trees,binary,2253,133,114,0.7456140350877193,0.6435579514824799,0.7740558944531138,0.8342857142857143,0.9240506329113924,0.7604166666666666,0.7523148148148148,0.9413521271379168,118,6,1.0,
design_binary/edu_to_eng_cluster_safe,target_design_binary,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,dummy,binary,2158,0,342,0.8070175438596491,0.4466019417475728,0.7208312042241527,0.8932038834951457,0.8070175438596491,1.0,0.5,0.8070175438596491,118,6,1.0,
design_binary/edu_to_eng_cluster_safe,target_design_binary,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,graph_lr,binary,2158,0,342,0.2894736842105263,0.2843278248064552,0.2470647049838714,0.2236421725239616,0.945945945945946,0.1268115942028985,0.5383728590250328,0.8475405922271824,118,6,1.0,
design_binary/edu_to_eng_cluster_safe,target_design_binary,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,graph_rf,binary,2158,0,342,0.804093567251462,0.5904923599320883,0.7720966252643493,0.8862478777589134,0.8338658146964856,0.9456521739130436,0.7529644268774704,0.9122975041471212,118,6,1.0,
design_binary/edu_to_eng_cluster_safe,target_design_binary,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,graph_extra_trees,binary,2158,0,342,0.7982456140350878,0.5992391691999389,0.7726472746579525,0.8816466552315609,0.8371335504885994,0.9311594202898552,0.7624615722441809,0.9189602182704228,118,6,1.0,
mmr_multiclass/random_cluster_stratified,target_mmr_multiclass,random_cluster_stratified,split_random_cluster_stratified,dummy,multiclass,1750,376,374,0.3048128342245989,0.0778688524590164,0.1424125536950995,,,,,,118,6,,0.5
mmr_multiclass/random_cluster_stratified,target_mmr_multiclass,random_cluster_stratified,split_random_cluster_stratified,graph_lr,multiclass,1750,376,374,0.355614973262032,0.3282270884929052,0.3611321737419621,,,,,,118,6,,0.7080492054150341
mmr_multiclass/random_cluster_stratified,target_mmr_multiclass,random_cluster_stratified,split_random_cluster_stratified,graph_rf,multiclass,1750,376,374,0.3689839572192513,0.2830271459110017,0.3303913774794603,,,,,,118,6,,0.6960971812090775
mmr_multiclass/random_cluster_stratified,target_mmr_multiclass,random_cluster_stratified,split_random_cluster_stratified,graph_extra_trees,multiclass,1750,376,374,0.3689839572192513,0.2999632587018251,0.3450403907513965,,,,,,118,6,,0.697577117095859
mmr_multiclass/temporal_cluster_safe,target_mmr_multiclass,temporal_cluster_safe,split_temporal_cluster_safe,dummy,multiclass,1257,346,897,0.0256410256410256,0.0083333333333333,0.0012820512820512,,,,,,118,6,,0.5
mmr_multiclass/temporal_cluster_safe,target_mmr_multiclass,temporal_cluster_safe,split_temporal_cluster_safe,graph_lr,multiclass,1257,346,897,0.3154960981047937,0.1834330780277797,0.319119148986405,,,,,,118,6,,0.5825081644687263
mmr_multiclass/temporal_cluster_safe,target_mmr_multiclass,temporal_cluster_safe,split_temporal_cluster_safe,graph_rf,multiclass,1257,346,897,0.3645484949832775,0.1571567140496827,0.3249541830754458,,,,,,118,6,,0.5364523937956631
mmr_multiclass/temporal_cluster_safe,target_mmr_multiclass,temporal_cluster_safe,split_temporal_cluster_safe,graph_extra_trees,multiclass,1257,346,897,0.3656633221850613,0.184656494499803,0.3352968902512401,,,,,,118,6,,0.5437632040464967
mmr_multiclass/cross_program_cluster_safe,target_mmr_multiclass,cross_program_cluster_safe,split_cross_program_cluster_safe,dummy,multiclass,2228,54,218,0.2293577981651376,0.0621890547263681,0.0855812679720662,,,,,,118,6,,0.5
mmr_multiclass/cross_program_cluster_safe,target_mmr_multiclass,cross_program_cluster_safe,split_cross_program_cluster_safe,graph_lr,multiclass,2228,54,218,0.2752293577981651,0.234897999603882,0.2808249794218493,,,,,,118,6,,0.5752196959925554
mmr_multiclass/cross_program_cluster_safe,target_mmr_multiclass,cross_program_cluster_safe,split_cross_program_cluster_safe,graph_rf,multiclass,2228,54,218,0.3027522935779816,0.2101089800595023,0.275223629489054,,,,,,118,6,,0.5274084310359265
mmr_multiclass/cross_program_cluster_safe,target_mmr_multiclass,cross_program_cluster_safe,split_cross_program_cluster_safe,graph_extra_trees,multiclass,2228,54,218,0.3165137614678899,0.2234857642859451,0.2958492689629773,,,,,,118,6,,0.5377835388611918
mmr_multiclass/cold_start_pi_cluster_safe,target_mmr_multiclass,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,dummy,multiclass,1735,400,365,0.3013698630136986,0.0771929824561403,0.1395818312905551,,,,,,118,6,,0.5
mmr_multiclass/cold_start_pi_cluster_safe,target_mmr_multiclass,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,graph_lr,multiclass,1735,400,365,0.3205479452054794,0.2823909905581656,0.3256663309325466,,,,,,118,6,,0.6686328470098614
