result_dir,model,split_folder,model_family,target,split_col,best_epoch,threshold,num_train,num_validation,num_test,num_nodes,num_edges,feature_dim,hidden_channels,num_layers,dropout,lr,weight_decay,device,train_accuracy,train_macro_f1,train_weighted_f1,train_positive_f1,train_precision,train_recall,train_roc_auc,train_pr_auc,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_positive_f1,validation_precision,validation_recall,validation_roc_auc,validation_pr_auc,test_accuracy,test_macro_f1,test_weighted_f1,test_positive_f1,test_precision,test_recall,test_roc_auc,test_pr_auc
integration_binary/random_cluster_stratified/graphsage_structural,graphsage_structural,random_cluster_stratified,graphsage_structural,target_integration_binary,split_random_cluster_stratified,32,0.5,1750,376,374,32161,516227,123,128,2,0.35,0.003,0.0001,cuda,0.7537142857142857,0.75369104219141,0.7538633177139002,0.7512983266012695,0.7068403908794788,0.8017241379310345,0.8188933061644627,0.7515998495348002,0.7313829787234043,0.7313658774678673,0.7312176665865472,0.7335092348284961,0.6813725490196079,0.7942857142857143,0.8021890547263683,0.7644966386049017,0.7459893048128342,0.7459438974336974,0.746198178756864,0.7425474254742548,0.6989795918367347,0.791907514450867,0.7920513041727776,0.719892479112163
integration_binary/temporal_cluster_safe/graphsage_structural,graphsage_structural,temporal_cluster_safe,graphsage_structural,target_integration_binary,split_temporal_cluster_safe,31,0.5,1257,346,897,32161,516227,123,128,2,0.35,0.003,0.0001,cuda,0.7517899761336515,0.7230385925662277,0.7615867438677367,0.6338028169014085,0.5454545454545454,0.7563025210084033,0.8264690320572674,0.6354710902076369,0.6647398843930635,0.6034775736020549,0.6214959003052928,0.7593360995850622,0.6332179930795848,0.9481865284974094,0.71722713264926,0.698441689955484,0.7068004459308808,0.5128352328225122,0.6235256282889488,0.8202323991797676,0.7033997655334114,0.9836065573770492,0.589986862397898,0.708033593514786
integration_binary/cross_program_cluster_safe/graphsage_structural,graphsage_structural,cross_program_cluster_safe,graphsage_structural,target_integration_binary,split_cross_program_cluster_safe,11,0.5,2228,54,218,32161,516227,123,128,2,0.35,0.003,0.0001,cuda,0.683572710951526,0.6816533257128264,0.6822746296051222,0.656934306569343,0.6965944272445821,0.6215469613259669,0.7654908999429131,0.709116678186628,0.8518518518518519,0.7333333333333334,0.8518518518518519,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7901234567901234,0.5794310844121091,0.6743119266055045,0.5069915591654722,0.6229300814861245,0.2197802197802197,0.3846153846153846,0.1538461538461538,0.5813976872800403,0.3767836591468904
integration_binary/cold_start_pi_cluster_safe/graphsage_structural,graphsage_structural,cold_start_pi_cluster_safe,graphsage_structural,target_integration_binary,split_cold_start_pi_cluster_safe,77,0.5,1735,400,365,32161,516227,123,128,2,0.35,0.003,0.0001,cuda,0.7878962536023055,0.7878961831411881,0.7879073864588408,0.7877739331026529,0.7219873150105708,0.866751269035533,0.8777705712401975,0.8416244635520542,0.74,0.7381078290649946,0.7386643499282315,0.7603686635944701,0.7205240174672489,0.8048780487804879,0.8143339587242027,0.8048430750302797,0.726027397260274,0.7259265933801886,0.7263730105634237,0.7206703910614525,0.675392670157068,0.7724550898203593,0.794380935099498,0.6991527648786644
integration_binary/cold_start_institution_cluster_safe/graphsage_structural,graphsage_structural,cold_start_institution_cluster_safe,graphsage_structural,target_integration_binary,split_cold_start_institution_cluster_safe,30,0.5,2253,133,114,32161,516227,123,128,2,0.35,0.003,0.0001,cuda,0.7425654682645362,0.74245338799322,0.7421839184047366,0.7478260869565218,0.6991869918699187,0.8037383177570093,0.8095148561000466,0.7554590116462638,0.7142857142857143,0.6694139194139195,0.7197802197802198,0.5476190476190477,0.5111111111111111,0.5897435897435898,0.7605019094380796,0.4908043032574182,0.7543859649122807,0.7516339869281046,0.7543859649122807,0.7254901960784313,0.7254901960784313,0.7254901960784313,0.827264239028945,0.7778818398179732
integration_binary/edu_to_eng_cluster_safe/graphsage_structural,graphsage_structural,edu_to_eng_cluster_safe,graphsage_structural,target_integration_binary,split_edu_to_eng_cluster_safe,8,0.5,1834,324,342,32161,516227,123,128,2,0.35,0.003,0.0001,cuda,0.6837513631406761,0.6734330484330484,0.6708376441200868,0.7314814814814815,0.6152647975077882,0.9018264840182648,0.7714404533798535,0.707909345393535,0.6450617283950617,0.6281993713515941,0.6247780235456731,0.7073791348600509,0.5840336134453782,0.896774193548387,0.7677037602595915,0.7494449857841504,0.4883040935672514,0.4562798092209857,0.4238696901235601,0.5882352941176471,0.4222972972972973,0.9689922480620154,0.7991774939039924,0.6710555316333595
design_binary/random_cluster_stratified/graphsage_structural,graphsage_structural,random_cluster_stratified,graphsage_structural,target_design_binary,split_random_cluster_stratified,2,0.5,1750,376,374,32161,516227,123,128,2,0.35,0.003,0.0001,cuda,0.8531428571428571,0.4860346559489131,0.7913376224590897,0.9204087952926604,0.8545140885566418,0.9973154362416108,0.8140810531750129,0.9590234411972112,0.8351063829787234,0.4550724637681159,0.7745914276904101,0.910144927536232,0.8486486486486486,0.98125,0.8539620535714285,0.971123504000588,0.8475935828877005,0.4755848564610956,0.7850016384413193,0.9172714078374457,0.8517520215633423,0.9937106918238994,0.7747079964061098,0.9459938980314586
design_binary/temporal_cluster_safe/graphsage_structural,graphsage_structural,temporal_cluster_safe,graphsage_structural,target_design_binary,split_temporal_cluster_safe,2,0.5,1257,346,897,32161,516227,123,128,2,0.35,0.003,0.0001,cuda,0.7438345266507558,0.4577831957989497,0.6498417563818162,0.8516129032258064,0.7481781376518218,0.9882352941176472,0.7356628026704752,0.8792642905591899,0.9219653179190752,0.4796992481203007,0.8845321395975487,0.9593984962406016,0.9219653179190752,1.0,0.7823058167885755,0.9739898823179264,0.9743589743589745,0.4935064935064935,0.9617049617049616,0.987012987012987,0.9743589743589745,1.0,0.8021589891553079,0.9933833730082756
design_binary/cross_program_cluster_safe/graphsage_structural,graphsage_structural,cross_program_cluster_safe,graphsage_structural,target_design_binary,split_cross_program_cluster_safe,2,0.5,2228,54,218,32161,516227,123,128,2,0.35,0.003,0.0001,cuda,0.8671454219030521,0.4838006737717442,0.8108416620212662,0.9286403085824494,0.8695259593679459,0.9963786859803414,0.8212473804659483,0.9648400117879988,0.7592592592592593,0.4967741935483871,0.6986857825567504,0.8602150537634409,0.7843137254901961,0.9523809523809524,0.7202380952380952,0.9071529431297668,0.7018348623853211,0.4268494923755208,0.5871058669507687,0.8238482384823849,0.7037037037037037,0.9934640522875816,0.6742081447963801,0.8266641407655727
design_binary/cold_start_pi_cluster_safe/graphsage_structural,graphsage_structural,cold_start_pi_cluster_safe,graphsage_structural,target_design_binary,split_cold_start_pi_cluster_safe,2,0.5,1735,400,365,32161,516227,123,128,2,0.35,0.003,0.0001,cuda,0.8409221902017291,0.4839737234583653,0.7790808064970577,0.9131529263687854,0.8465577596266044,0.9911202185792348,0.815364567580102,0.9561316701776226,0.8875,0.4913961176570314,0.8370051708061371,0.9402390438247012,0.8872180451127819,1.0,0.8020756570867109,0.9674565681816176,0.852054794520548,0.4777977956761339,0.786650658800165,0.9198813056379822,0.8516483516483516,1.0,0.772375366568915,0.9474743429898352
