result_dir,model,split_folder,model_family,target,split_col,eval_split,n,best_epoch,best_val_macro_f1,seed,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,threshold
integration_binary/random_cluster_stratified/hgt_structural,hgt_structural,random_cluster_stratified,hgt_structural,target_integration_binary,split_random_cluster_stratified,train,1750,97,0.7272106520996927,42,0.7308571428571429,0.7297302614558464,0.7284737388313921,0.6622264509990485,0.8571428571428571,0.7471819645732689,0.8076808953123193,0.7451999779961131,
integration_binary/random_cluster_stratified/hgt_structural,hgt_structural,random_cluster_stratified,hgt_structural,target_integration_binary,split_random_cluster_stratified,validation,376,97,0.7272106520996927,42,0.7287234042553191,0.7272106520996927,0.7258059536694682,0.6593886462882096,0.8628571428571429,0.7475247524752475,0.7780241648898365,0.6973646439961698,
integration_binary/random_cluster_stratified/hgt_structural,hgt_structural,random_cluster_stratified,hgt_structural,target_integration_binary,split_random_cluster_stratified,test,374,97,0.7272106520996927,42,0.7165775401069518,0.7144873678448995,0.7126584671156038,0.6437768240343348,0.8670520231213873,0.7389162561576355,0.7488568717108101,0.6323135418823972,
integration_binary/temporal_cluster_safe/hgt_structural,hgt_structural,temporal_cluster_safe,hgt_structural,target_integration_binary,split_temporal_cluster_safe,train,1257,5,0.5189229517091698,42,0.6801909307875895,0.5751607500773483,0.666410971078406,0.4181818181818181,0.3221288515406162,0.3639240506329114,0.6757018362900715,0.3984797102499501,
integration_binary/temporal_cluster_safe/hgt_structural,hgt_structural,temporal_cluster_safe,hgt_structural,target_integration_binary,split_temporal_cluster_safe,validation,346,5,0.5189229517091698,42,0.5260115606936416,0.5189229517091698,0.5256740078848572,0.5743589743589743,0.5803108808290155,0.5773195876288659,0.5274475938907515,0.5752494125695875,
integration_binary/temporal_cluster_safe/hgt_structural,hgt_structural,temporal_cluster_safe,hgt_structural,target_integration_binary,split_temporal_cluster_safe,test,897,5,0.5189229517091698,42,0.5027870680044593,0.4742446065856428,0.5183556833238138,0.6653225806451613,0.5409836065573771,0.596745027124774,0.4742617238818758,0.6594760592578203,
integration_binary/cross_program_cluster_safe/hgt_structural,hgt_structural,cross_program_cluster_safe,hgt_structural,target_integration_binary,split_cross_program_cluster_safe,train,2228,56,0.7764636309875813,42,0.72262118491921,0.7208794309678801,0.7203252365288204,0.6775417298937785,0.8222836095764272,0.742928452579035,0.7794215827616569,0.7268305373941413,
integration_binary/cross_program_cluster_safe/hgt_structural,hgt_structural,cross_program_cluster_safe,hgt_structural,target_integration_binary,split_cross_program_cluster_safe,validation,54,56,0.7764636309875813,42,0.8703703703703703,0.7764636309875813,0.8730534200670215,0.6,0.6666666666666666,0.631578947368421,0.8641975308641975,0.5965768799102131,
integration_binary/cross_program_cluster_safe/hgt_structural,hgt_structural,cross_program_cluster_safe,hgt_structural,target_integration_binary,split_cross_program_cluster_safe,test,218,56,0.7764636309875813,42,0.6100917431192661,0.5545137636735185,0.6180314544686586,0.3684210526315789,0.4307692307692308,0.3971631205673759,0.6574157868275515,0.4037807103473477,
integration_binary/cold_start_pi_cluster_safe/hgt_structural,hgt_structural,cold_start_pi_cluster_safe,hgt_structural,target_integration_binary,split_cold_start_pi_cluster_safe,train,1735,106,0.744974497449745,42,0.7613832853025937,0.7610879612999017,0.761857740257738,0.7110609480812641,0.799492385786802,0.7526881720430108,0.8283076667434968,0.7632265712843838,
integration_binary/cold_start_pi_cluster_safe/hgt_structural,hgt_structural,cold_start_pi_cluster_safe,hgt_structural,target_integration_binary,split_cold_start_pi_cluster_safe,validation,400,106,0.744974497449745,42,0.745,0.744974497449745,0.7449107410741074,0.7696335078534031,0.7170731707317073,0.7424242424242424,0.789618511569731,0.7554332790076123,
integration_binary/cold_start_pi_cluster_safe/hgt_structural,hgt_structural,cold_start_pi_cluster_safe,hgt_structural,target_integration_binary,split_cold_start_pi_cluster_safe,test,365,106,0.744974497449745,42,0.6712328767123288,0.6701409808410652,0.6717528271272162,0.632768361581921,0.6706586826347305,0.6511627906976745,0.7519808867114257,0.6378460934128704,
integration_binary/cold_start_institution_cluster_safe/hgt_structural,hgt_structural,cold_start_institution_cluster_safe,hgt_structural,target_integration_binary,split_cold_start_institution_cluster_safe,train,2253,10,0.720909767819671,42,0.6107412339103417,0.5930305581192925,0.5972886567669278,0.635343618513324,0.4233644859813084,0.5081323611890073,0.7003104731357788,0.6148142885190523,
integration_binary/cold_start_institution_cluster_safe/hgt_structural,hgt_structural,cold_start_institution_cluster_safe,hgt_structural,target_integration_binary,split_cold_start_institution_cluster_safe,validation,133,10,0.720909767819671,42,0.7669172932330827,0.720909767819671,0.7677692844444423,0.6,0.6153846153846154,0.6075949367088608,0.7741407528641572,0.6083804065259721,
integration_binary/cold_start_institution_cluster_safe/hgt_structural,hgt_structural,cold_start_institution_cluster_safe,hgt_structural,target_integration_binary,split_cold_start_institution_cluster_safe,test,114,10,0.720909767819671,42,0.6754385964912281,0.6680569764696624,0.6732675317790029,0.6521739130434783,0.5882352941176471,0.6185567010309279,0.7563025210084034,0.7226672981168218,
integration_binary/edu_to_eng_cluster_safe/hgt_structural,hgt_structural,edu_to_eng_cluster_safe,hgt_structural,target_integration_binary,split_edu_to_eng_cluster_safe,train,1830,18,0.7115051780394381,42,0.6901639344262295,0.6893266963583966,0.6885511495166147,0.644212523719165,0.7795637198622273,0.7054545454545454,0.7461417545304678,0.6830345633635178,
integration_binary/edu_to_eng_cluster_safe/hgt_structural,hgt_structural,edu_to_eng_cluster_safe,hgt_structural,target_integration_binary,split_edu_to_eng_cluster_safe,validation,328,18,0.7115051780394381,42,0.7164634146341463,0.7115051780394381,0.7105827154171669,0.6587677725118484,0.86875,0.7493261455525606,0.7416666666666667,0.6508644332839086,
integration_binary/edu_to_eng_cluster_safe/hgt_structural,hgt_structural,edu_to_eng_cluster_safe,hgt_structural,target_integration_binary,split_edu_to_eng_cluster_safe,test,342,18,0.7115051780394381,42,0.6257309941520468,0.6255260906757912,0.6233746041751084,0.502262443438914,0.8604651162790697,0.6342857142857142,0.7670779197146704,0.6891471230922375,
design_binary/random_cluster_stratified/hgt_structural,hgt_structural,random_cluster_stratified,hgt_structural,target_design_binary,split_random_cluster_stratified,train,1750,60,0.7035332225205643,42,0.768,0.6687237963087298,0.7961869805887529,0.944991789819376,0.77248322147651,0.8500738552437223,0.8416339700567889,0.9677494142815252,
design_binary/random_cluster_stratified/hgt_structural,hgt_structural,random_cluster_stratified,hgt_structural,target_design_binary,split_random_cluster_stratified,validation,376,60,0.7035332225205643,42,0.8031914893617021,0.7035332225205643,0.8242202979612083,0.948905109489051,0.8125,0.8754208754208754,0.8409040178571429,0.969807693959314,
design_binary/random_cluster_stratified/hgt_structural,hgt_structural,random_cluster_stratified,hgt_structural,target_design_binary,split_random_cluster_stratified,test,374,60,0.7035332225205643,42,0.7459893048128342,0.6428248303593868,0.7772979264131341,0.933852140077821,0.7547169811320755,0.8347826086956521,0.8103099730458221,0.957432694136969,
design_binary/temporal_cluster_safe/hgt_structural,hgt_structural,temporal_cluster_safe,hgt_structural,target_design_binary,split_temporal_cluster_safe,train,1257,102,0.5981416957026713,42,0.747016706443914,0.711507482851798,0.7608661088426532,0.9043250327653998,0.7379679144385026,0.8127208480565371,0.8314279071312319,0.9358800293386366,
design_binary/temporal_cluster_safe/hgt_structural,hgt_structural,temporal_cluster_safe,hgt_structural,target_design_binary,split_temporal_cluster_safe,validation,346,102,0.5981416957026713,42,0.9104046242774566,0.5981416957026713,0.8970950568300067,0.933734939759036,0.9717868338557992,0.9523809523809524,0.6189481017067224,0.944029740075902,
design_binary/temporal_cluster_safe/hgt_structural,hgt_structural,temporal_cluster_safe,hgt_structural,target_design_binary,split_temporal_cluster_safe,test,897,102,0.5981416957026713,42,0.9565217391304348,0.4888888888888889,0.9527065527065528,0.9738933030646992,0.9816933638443937,0.9777777777777776,0.6499353298179287,0.9846759808207656,
design_binary/cross_program_cluster_safe/hgt_structural,hgt_structural,cross_program_cluster_safe,hgt_structural,target_design_binary,split_cross_program_cluster_safe,train,2228,2,0.5158620689655172,42,0.7894973070017953,0.6478645555138058,0.8120502929075262,0.9285714285714286,0.8204862907397827,0.8711892337269981,0.725146650065324,0.9318130174669214,
