result_dir,target_folder,split_folder,model_family,model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,macro_ovr_roc_auc,macro_pr_auc
integration_binary/random_cluster_stratified/late_fusion/dummy,integration_binary,random_cluster_stratified,late_fusion,dummy,target_integration_binary,split_random_cluster_stratified,374,0.5374331550802139,0.3495652173913043,0.3757358753778191,0.0,0.0,0.0,0.5,0.4625668449197861,1750,376,2,,
integration_binary/random_cluster_stratified/late_fusion/fusion_lr,integration_binary,random_cluster_stratified,late_fusion,fusion_lr,target_integration_binary,split_random_cluster_stratified,374,0.7112299465240641,0.7093598894773199,0.7111052760542813,0.686046511627907,0.6900584795321637,0.6820809248554913,0.7839990797457798,0.7339613766343732,1750,376,2,,
integration_binary/random_cluster_stratified/late_fusion/fusion_svm,integration_binary,random_cluster_stratified,late_fusion,fusion_svm,target_integration_binary,split_random_cluster_stratified,374,0.7219251336898396,0.7207753050969131,0.7221167717886606,0.7028571428571428,0.6949152542372882,0.7109826589595376,0.7757455497081069,0.7220270856690237,1750,376,2,,
integration_binary/random_cluster_stratified/late_fusion/fusion_mlp,integration_binary,random_cluster_stratified,late_fusion,fusion_mlp,target_integration_binary,split_random_cluster_stratified,374,0.7379679144385026,0.7364909556264918,0.7379679144385026,0.7167630057803468,0.7167630057803468,0.7167630057803468,0.818853708336928,0.7787399439430251,1750,376,2,,
integration_binary/random_cluster_stratified/late_fusion/fusion_extra_trees,integration_binary,random_cluster_stratified,late_fusion,fusion_extra_trees,target_integration_binary,split_random_cluster_stratified,374,0.7620320855614974,0.7618942022246862,0.7623231726058765,0.7561643835616438,0.71875,0.7976878612716763,0.818824950392546,0.7281114153209932,1750,376,2,,
integration_binary/temporal_cluster_safe/late_fusion/dummy,integration_binary,temporal_cluster_safe,late_fusion,dummy,target_integration_binary,split_temporal_cluster_safe,897,0.3199554069119286,0.2423986486486486,0.15511351652656,0.0,0.0,0.0,0.5,0.6800445930880713,1257,346,2,,
integration_binary/temporal_cluster_safe/late_fusion/fusion_lr,integration_binary,temporal_cluster_safe,late_fusion,fusion_lr,target_integration_binary,split_temporal_cluster_safe,897,0.6410256410256411,0.5769908964159765,0.6362551442925429,0.7415730337078652,0.7264150943396226,0.7573770491803279,0.6069686411149826,0.7339152374252859,1257,346,2,,
integration_binary/temporal_cluster_safe/late_fusion/fusion_svm,integration_binary,temporal_cluster_safe,late_fusion,fusion_svm,target_integration_binary,split_temporal_cluster_safe,897,0.6120401337792643,0.5642713567839196,0.616221912236769,0.7085427135678392,0.7243150684931506,0.6934426229508197,0.5999600159936025,0.7287454469542869,1257,346,2,,
integration_binary/temporal_cluster_safe/late_fusion/fusion_mlp,integration_binary,temporal_cluster_safe,late_fusion,fusion_mlp,target_integration_binary,split_temporal_cluster_safe,897,0.6499442586399108,0.617566070322938,0.657635629044709,0.7288428324697754,0.7700729927007299,0.6918032786885245,0.6639001542240246,0.7818796025057402,1257,346,2,,
integration_binary/temporal_cluster_safe/late_fusion/fusion_extra_trees,integration_binary,temporal_cluster_safe,late_fusion,fusion_extra_trees,target_integration_binary,split_temporal_cluster_safe,897,0.5763656633221851,0.5649987748601298,0.5903194988135355,0.6353166986564299,0.7662037037037037,0.5426229508196722,0.6346033015365282,0.7589006365822457,1257,346,2,,
