result_dir,target_folder,split_folder,model_family,model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,macro_ovr_roc_auc,macro_pr_auc
integration_binary/random_cluster_stratified/late_fusion/dummy,integration_binary,random_cluster_stratified,late_fusion,dummy,target_integration_binary,split_random_cluster_stratified,374,0.5374331550802139,0.3495652173913043,0.3757358753778191,0.0,0.0,0.0,0.5,0.4625668449197861,1750,376,2,,
integration_binary/random_cluster_stratified/late_fusion/fusion_lr,integration_binary,random_cluster_stratified,late_fusion,fusion_lr,target_integration_binary,split_random_cluster_stratified,374,0.7727272727272727,0.7721391965021682,0.7730058351496907,0.7605633802816901,0.7417582417582418,0.7803468208092486,0.8659304632904841,0.8448950209228911,1750,376,2,,
integration_binary/random_cluster_stratified/late_fusion/fusion_svm,integration_binary,random_cluster_stratified,late_fusion,fusion_svm,target_integration_binary,split_random_cluster_stratified,374,0.7459893048128342,0.7453320431494821,0.7463006392849484,0.7323943661971831,0.7142857142857143,0.7514450867052023,0.8484743910505277,0.8219610304027912,1750,376,2,,
integration_binary/random_cluster_stratified/late_fusion/fusion_mlp,integration_binary,random_cluster_stratified,late_fusion,fusion_mlp,target_integration_binary,split_random_cluster_stratified,374,0.8021390374331551,0.8011781609195402,0.8022129510111254,0.7873563218390804,0.7828571428571428,0.791907514450867,0.908779800419866,0.8911283414693372,1750,376,2,,
integration_binary/random_cluster_stratified/late_fusion/fusion_extra_trees,integration_binary,random_cluster_stratified,late_fusion,fusion_extra_trees,target_integration_binary,split_random_cluster_stratified,374,0.7967914438502673,0.795951184493898,0.7969314870763289,0.7828571428571428,0.7740112994350282,0.791907514450867,0.8749604578264746,0.8441439083958954,1750,376,2,,
integration_binary/temporal_cluster_safe/late_fusion/dummy,integration_binary,temporal_cluster_safe,late_fusion,dummy,target_integration_binary,split_temporal_cluster_safe,897,0.3199554069119286,0.2423986486486486,0.15511351652656,0.0,0.0,0.0,0.5,0.6800445930880713,1257,346,2,,
integration_binary/temporal_cluster_safe/late_fusion/fusion_lr,integration_binary,temporal_cluster_safe,late_fusion,fusion_lr,target_integration_binary,split_temporal_cluster_safe,897,0.6889632107023411,0.6467751291797281,0.6907323883145796,0.7688483844241922,0.7772194304857621,0.760655737704918,0.7028103044496488,0.8094714212724045,1257,346,2,,
integration_binary/temporal_cluster_safe/late_fusion/fusion_svm,integration_binary,temporal_cluster_safe,late_fusion,fusion_svm,target_integration_binary,split_temporal_cluster_safe,897,0.6633221850613155,0.6295051205742046,0.6698110682839346,0.7414383561643836,0.7759856630824373,0.7098360655737705,0.6856685897069743,0.8006150630127553,1257,346,2,,
integration_binary/temporal_cluster_safe/late_fusion/fusion_mlp,integration_binary,temporal_cluster_safe,late_fusion,fusion_mlp,target_integration_binary,split_temporal_cluster_safe,897,0.7346711259754738,0.680624371678874,0.7279335902095019,0.8120063191153238,0.7835365853658537,0.8426229508196721,0.7243673958987833,0.8123050754176554,1257,346,2,,
integration_binary/temporal_cluster_safe/late_fusion/fusion_extra_trees,integration_binary,temporal_cluster_safe,late_fusion,fusion_extra_trees,target_integration_binary,split_temporal_cluster_safe,897,0.6989966555183946,0.6706869357119547,0.7054551467289892,0.7672413793103449,0.8090909090909091,0.7295081967213115,0.7462043753927,0.8474823434712182,1257,346,2,,
integration_binary/cross_program_cluster_safe/late_fusion/dummy,integration_binary,cross_program_cluster_safe,late_fusion,dummy,target_integration_binary,split_cross_program_cluster_safe,218,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.0,0.0,0.0,0.5,0.2981651376146789,2228,54,2,,
integration_binary/cross_program_cluster_safe/late_fusion/fusion_lr,integration_binary,cross_program_cluster_safe,late_fusion,fusion_lr,target_integration_binary,split_cross_program_cluster_safe,218,0.8073394495412844,0.7851914414414414,0.8130346516241012,0.7162162162162162,0.6385542168674698,0.8153846153846154,0.8751131221719457,0.8091869155625463,2228,54,2,,
integration_binary/cross_program_cluster_safe/late_fusion/fusion_svm,integration_binary,cross_program_cluster_safe,late_fusion,fusion_svm,target_integration_binary,split_cross_program_cluster_safe,218,0.7981651376146789,0.7749624624624625,0.8041315397966774,0.7027027027027027,0.6265060240963856,0.8,0.8678733031674208,0.8115587718815832,2228,54,2,,
integration_binary/cross_program_cluster_safe/late_fusion/fusion_mlp,integration_binary,cross_program_cluster_safe,late_fusion,fusion_mlp,target_integration_binary,split_cross_program_cluster_safe,218,0.8486238532110092,0.8199474408709799,0.8489534671459521,0.7480916030534351,0.7424242424242424,0.7538461538461538,0.9074912016088488,0.804035866987131,2228,54,2,,
integration_binary/cross_program_cluster_safe/late_fusion/fusion_extra_trees,integration_binary,cross_program_cluster_safe,late_fusion,fusion_extra_trees,target_integration_binary,split_cross_program_cluster_safe,218,0.8394495412844036,0.7884961884961885,0.8304017496678047,0.6846846846846847,0.8260869565217391,0.5846153846153846,0.8802413273001509,0.7702723055025509,2228,54,2,,
integration_binary/cold_start_pi_cluster_safe/late_fusion/dummy,integration_binary,cold_start_pi_cluster_safe,late_fusion,dummy,target_integration_binary,split_cold_start_pi_cluster_safe,365,0.5424657534246575,0.3516873889875666,0.3815567288741818,0.0,0.0,0.0,0.5,0.4575342465753425,1735,400,2,,
integration_binary/cold_start_pi_cluster_safe/late_fusion/fusion_lr,integration_binary,cold_start_pi_cluster_safe,late_fusion,fusion_lr,target_integration_binary,split_cold_start_pi_cluster_safe,365,0.7643835616438356,0.7636010362694301,0.7647561927745048,0.75,0.7288135593220338,0.7724550898203593,0.8470332063146435,0.812543154801062,1735,400,2,,
integration_binary/cold_start_pi_cluster_safe/late_fusion/fusion_svm,integration_binary,cold_start_pi_cluster_safe,late_fusion,fusion_svm,target_integration_binary,split_cold_start_pi_cluster_safe,365,0.7534246575342466,0.7526057356307989,0.7538146203454121,0.7383720930232558,0.7175141242937854,0.7604790419161677,0.8287969515514425,0.7909567833743597,1735,400,2,,
integration_binary/cold_start_pi_cluster_safe/late_fusion/fusion_mlp,integration_binary,cold_start_pi_cluster_safe,late_fusion,fusion_mlp,target_integration_binary,split_cold_start_pi_cluster_safe,365,0.7643835616438356,0.7641693713186681,0.7647729985986856,0.7570621468926554,0.7165775401069518,0.8023952095808383,0.8625476320087098,0.8108442853206456,1735,400,2,,
integration_binary/cold_start_pi_cluster_safe/late_fusion/fusion_extra_trees,integration_binary,cold_start_pi_cluster_safe,late_fusion,fusion_extra_trees,target_integration_binary,split_cold_start_pi_cluster_safe,365,0.821917808219178,0.8214836607700469,0.8222313591546618,0.8126801152737753,0.7833333333333333,0.844311377245509,0.8703804512187746,0.8135930611676581,1735,400,2,,
integration_binary/cold_start_institution_cluster_safe/late_fusion/dummy,integration_binary,cold_start_institution_cluster_safe,late_fusion,dummy,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.5526315789473685,0.3559322033898305,0.3933987511150758,0.0,0.0,0.0,0.5,0.4473684210526316,2253,133,2,,
integration_binary/cold_start_institution_cluster_safe/late_fusion/fusion_lr,integration_binary,cold_start_institution_cluster_safe,late_fusion,fusion_lr,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.8508771929824561,0.8482499412731971,0.8503517426406042,0.8282828282828283,0.8541666666666666,0.803921568627451,0.9078742608154372,0.8948435857245027,2253,133,2,,
integration_binary/cold_start_institution_cluster_safe/late_fusion/fusion_svm,integration_binary,cold_start_institution_cluster_safe,late_fusion,fusion_svm,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.7807017543859649,0.7744360902255638,0.7783933518005539,0.7368421052631579,0.7954545454545454,0.6862745098039216,0.8863990040460629,0.8761316525362812,2253,133,2,,
integration_binary/cold_start_institution_cluster_safe/late_fusion/fusion_mlp,integration_binary,cold_start_institution_cluster_safe,late_fusion,fusion_mlp,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.8771929824561403,0.8753124999999999,0.8769243421052632,0.86,0.8775510204081632,0.8431372549019608,0.9436663554310613,0.9378336196349966,2253,133,2,,
integration_binary/cold_start_institution_cluster_safe/late_fusion/fusion_extra_trees,integration_binary,cold_start_institution_cluster_safe,late_fusion,fusion_extra_trees,target_integration_binary,split_cold_start_institution_cluster_safe,114,0.8508771929824561,0.8456391875746715,0.848632333521977,0.8172043010752689,0.9047619047619048,0.7450980392156863,0.9066293183940242,0.9026010082022043,2253,133,2,,
integration_binary/edu_to_eng_cluster_safe/late_fusion/dummy,integration_binary,edu_to_eng_cluster_safe,late_fusion,dummy,target_integration_binary,split_edu_to_eng_cluster_safe,342,0.6228070175438597,0.3837837837837838,0.4780464675201517,0.0,0.0,0.0,0.5,0.3771929824561403,1841,317,2,,
integration_binary/edu_to_eng_cluster_safe/late_fusion/fusion_lr,integration_binary,edu_to_eng_cluster_safe,late_fusion,fusion_lr,target_integration_binary,split_edu_to_eng_cluster_safe,342,0.7660818713450293,0.7552334943639292,0.7678899341752126,0.7037037037037037,0.6737588652482269,0.7364341085271318,0.8524584197692615,0.7585319873690444,1841,317,2,,
integration_binary/edu_to_eng_cluster_safe/late_fusion/fusion_svm,integration_binary,edu_to_eng_cluster_safe,late_fusion,fusion_svm,target_integration_binary,split_edu_to_eng_cluster_safe,342,0.7222222222222222,0.7124651533253683,0.7254745785211736,0.6594982078853047,0.6133333333333333,0.7131782945736435,0.8196673581540925,0.7055223924840023,1841,317,2,,
integration_binary/edu_to_eng_cluster_safe/late_fusion/fusion_mlp,integration_binary,edu_to_eng_cluster_safe,late_fusion,fusion_mlp,target_integration_binary,split_edu_to_eng_cluster_safe,342,0.8070175438596491,0.7847497711321331,0.8017542521240544,0.7155172413793104,0.8058252427184466,0.6434108527131783,0.9000254758525312,0.8260845541261606,1841,317,2,,
integration_binary/edu_to_eng_cluster_safe/late_fusion/fusion_extra_trees,integration_binary,edu_to_eng_cluster_safe,late_fusion,fusion_extra_trees,target_integration_binary,split_edu_to_eng_cluster_safe,342,0.7865497076023392,0.7731910061321826,0.7867106558128228,0.7181467181467182,0.7153846153846154,0.7209302325581395,0.8808457983040361,0.781767753147632,1841,317,2,,
design_binary/random_cluster_stratified/late_fusion/dummy,design_binary,random_cluster_stratified,late_fusion,dummy,target_design_binary,split_random_cluster_stratified,374,0.8502673796791443,0.4595375722543353,0.7814596148496183,0.9190751445086706,0.8502673796791443,1.0,0.5,0.8502673796791443,1750,376,2,,
design_binary/random_cluster_stratified/late_fusion/fusion_lr,design_binary,random_cluster_stratified,late_fusion,fusion_lr,target_design_binary,split_random_cluster_stratified,374,0.8288770053475936,0.7056277056277056,0.8390628978864273,0.8961038961038961,0.9261744966442952,0.8679245283018868,0.8165992812219226,0.958866551071044,1750,376,2,,
design_binary/random_cluster_stratified/late_fusion/fusion_svm,design_binary,random_cluster_stratified,late_fusion,fusion_svm,target_design_binary,split_random_cluster_stratified,374,0.8342245989304813,0.711376649240727,0.8432871525961189,0.8996763754045307,0.9266666666666666,0.8742138364779874,0.800033692722372,0.9538592150429528,1750,376,2,,
design_binary/random_cluster_stratified/late_fusion/fusion_mlp,design_binary,random_cluster_stratified,late_fusion,fusion_mlp,target_design_binary,split_random_cluster_stratified,374,0.8582887700534759,0.6914911830166067,0.850403793211733,0.9183359013867488,0.9003021148036254,0.9371069182389936,0.8849393530997305,0.9764817350643552,1750,376,2,,
design_binary/random_cluster_stratified/late_fusion/fusion_extra_trees,design_binary,random_cluster_stratified,late_fusion,fusion_extra_trees,target_design_binary,split_random_cluster_stratified,374,0.8663101604278075,0.6338502506265664,0.8382277552169193,0.925595238095238,0.8785310734463276,0.9779874213836478,0.8724730458221025,0.9738925719593808,1750,376,2,,
design_binary/temporal_cluster_safe/late_fusion/dummy,design_binary,temporal_cluster_safe,late_fusion,dummy,target_design_binary,split_temporal_cluster_safe,897,0.9743589743589745,0.4935064935064935,0.9617049617049616,0.987012987012987,0.9743589743589745,1.0,0.5,0.9743589743589745,1257,346,2,,
design_binary/temporal_cluster_safe/late_fusion/fusion_lr,design_binary,temporal_cluster_safe,late_fusion,fusion_lr,target_design_binary,split_temporal_cluster_safe,897,0.8907469342251951,0.5555094858622224,0.9217316534577162,0.941527446300716,0.983790523690773,0.902745995423341,0.8459357277882799,0.9950466022107468,1257,346,2,,
design_binary/temporal_cluster_safe/late_fusion/fusion_svm,design_binary,temporal_cluster_safe,late_fusion,fusion_svm,target_design_binary,split_temporal_cluster_safe,897,0.8729096989966555,0.5338857893009518,0.9110221908055844,0.9314079422382672,0.9822335025380712,0.88558352402746,0.8287732563923988,0.9945785344518226,1257,346,2,,
design_binary/temporal_cluster_safe/late_fusion/fusion_mlp,design_binary,temporal_cluster_safe,late_fusion,fusion_mlp,target_design_binary,split_temporal_cluster_safe,897,0.9687848383500556,0.658675799086758,0.9673340358271864,0.9840182648401826,0.9817767653758542,0.9862700228832952,0.912297283852353,0.9973445800439508,1257,346,2,,
design_binary/temporal_cluster_safe/late_fusion/fusion_extra_trees,design_binary,temporal_cluster_safe,late_fusion,fusion_extra_trees,target_design_binary,split_temporal_cluster_safe,897,0.9732441471571908,0.4932203389830508,0.9611473272490222,0.9864406779661016,0.9743303571428572,0.9988558352402744,0.9084668192219678,0.9969226776608666,1257,346,2,,
design_binary/cross_program_cluster_safe/late_fusion/dummy,design_binary,cross_program_cluster_safe,late_fusion,dummy,target_design_binary,split_cross_program_cluster_safe,218,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.8247978436657682,0.7018348623853211,1.0,0.5,0.7018348623853211,2228,54,2,,
design_binary/cross_program_cluster_safe/late_fusion/fusion_lr,design_binary,cross_program_cluster_safe,late_fusion,fusion_lr,target_design_binary,split_cross_program_cluster_safe,218,0.7431192660550459,0.684449958643507,0.7393744166457986,0.8205128205128205,0.8050314465408805,0.8366013071895425,0.7727501256913022,0.8958612775499522,2228,54,2,,
design_binary/cross_program_cluster_safe/late_fusion/fusion_svm,design_binary,cross_program_cluster_safe,late_fusion,fusion_svm,target_design_binary,split_cross_program_cluster_safe,218,0.7293577981651376,0.6553867588350347,0.719836773300867,0.8150470219435737,0.7831325301204819,0.8496732026143791,0.746606334841629,0.8814781317036485,2228,54,2,,
design_binary/cross_program_cluster_safe/late_fusion/fusion_mlp,design_binary,cross_program_cluster_safe,late_fusion,fusion_mlp,target_design_binary,split_cross_program_cluster_safe,218,0.8027522935779816,0.7611293733914328,0.8013801093960076,0.86084142394822,0.8525641025641025,0.869281045751634,0.844947209653092,0.9347624859088368,2228,54,2,,
design_binary/cross_program_cluster_safe/late_fusion/fusion_extra_trees,design_binary,cross_program_cluster_safe,late_fusion,fusion_extra_trees,target_design_binary,split_cross_program_cluster_safe,218,0.7155963302752294,0.5059941520467836,0.6358884596813134,0.8277777777777777,0.7198067632850241,0.9738562091503268,0.8200100553041729,0.9268248836773,2228,54,2,,
design_binary/cold_start_pi_cluster_safe/late_fusion/dummy,design_binary,cold_start_pi_cluster_safe,late_fusion,dummy,target_design_binary,split_cold_start_pi_cluster_safe,365,0.8493150684931506,0.4592592592592592,0.7801116184677829,0.9185185185185184,0.8493150684931506,1.0,0.5,0.8493150684931506,1735,400,2,,
design_binary/cold_start_pi_cluster_safe/late_fusion/fusion_lr,design_binary,cold_start_pi_cluster_safe,late_fusion,fusion_lr,target_design_binary,split_cold_start_pi_cluster_safe,365,0.8684931506849315,0.7540155003931259,0.8712516482823245,0.9218241042345277,0.930921052631579,0.9129032258064516,0.8510850439882699,0.9582048199912492,1735,400,2,,
design_binary/cold_start_pi_cluster_safe/late_fusion/fusion_svm,design_binary,cold_start_pi_cluster_safe,late_fusion,fusion_svm,target_design_binary,split_cold_start_pi_cluster_safe,365,0.8684931506849315,0.746879334257975,0.8694545247278325,0.9223300970873788,0.9253246753246752,0.9193548387096774,0.8404692082111436,0.9518369805760962,1735,400,2,,
design_binary/cold_start_pi_cluster_safe/late_fusion/fusion_mlp,design_binary,cold_start_pi_cluster_safe,late_fusion,fusion_mlp,target_design_binary,split_cold_start_pi_cluster_safe,365,0.8904109589041096,0.7720744348694892,0.8868113688194064,0.9363057324840764,0.9245283018867924,0.9483870967741936,0.9072140762463342,0.9814815302412256,1735,400,2,,
design_binary/cold_start_pi_cluster_safe/late_fusion/fusion_extra_trees,design_binary,cold_start_pi_cluster_safe,late_fusion,fusion_extra_trees,target_design_binary,split_cold_start_pi_cluster_safe,365,0.8575342465753425,0.5891774891774892,0.8211468896400403,0.9212121212121211,0.8685714285714285,0.9806451612903224,0.9144868035190616,0.9846988878112216,1735,400,2,,
design_binary/cold_start_institution_cluster_safe/late_fusion/dummy,design_binary,cold_start_institution_cluster_safe,late_fusion,dummy,target_design_binary,split_cold_start_institution_cluster_safe,114,0.8421052631578947,0.4571428571428571,0.7699248120300752,0.9142857142857144,0.8421052631578947,1.0,0.5,0.8421052631578947,2253,133,2,,
