result_dir,target_folder,split_folder,model_family,accuracy,macro_f1,weighted_f1,positive_f1,precision,recall,roc_auc,pr_auc,model,target,split_col,label_type,n_train,n_val,n_test,n_features_raw,n_text_embedding_cols,n_metadata_cols,threshold,roc_auc_macro_ovr,pr_auc_macro
integration_binary/random_cluster_stratified/metadata_only,integration_binary,random_cluster_stratified,metadata_only,0.5374331550802139,0.3495652173913043,0.3757358753778191,0.0,0.0,0.0,0.5,0.4625668449197861,dummy,target_integration_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,9.0,0.0,9.0,,,
integration_binary/random_cluster_stratified/metadata_only,integration_binary,random_cluster_stratified,metadata_only,0.6711229946524064,0.6711206434316355,0.6710548092500466,0.672,0.6237623762376238,0.7283236994219653,0.7040519943634429,0.6379881650380619,metadata_lr,target_integration_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,9.0,0.0,9.0,,,
integration_binary/random_cluster_stratified/metadata_only,integration_binary,random_cluster_stratified,metadata_only,0.6310160427807486,0.6301593671176335,0.6314919737047016,0.6123595505617978,0.5956284153005464,0.630057803468208,0.69579846432577,0.6301799950786583,metadata_svm,target_integration_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,9.0,0.0,9.0,,,
integration_binary/random_cluster_stratified/metadata_only,integration_binary,random_cluster_stratified,metadata_only,0.6711229946524064,0.6707251605145054,0.6715820340422923,0.6592797783933518,0.6329787234042553,0.6878612716763006,0.7277485405343227,0.6715785849793845,metadata_mlp,target_integration_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,9.0,0.0,9.0,,,
integration_binary/random_cluster_stratified/metadata_only,integration_binary,random_cluster_stratified,metadata_only,0.6818181818181818,0.6796170319979844,0.6816051673194531,0.6530612244897959,0.6588235294117647,0.6473988439306358,0.7562476634170189,0.7196467481912918,metadata_extra_trees,target_integration_binary,split_random_cluster_stratified,binary,1750.0,376.0,374.0,9.0,0.0,9.0,,,
integration_binary/random_cluster_stratified/metadata_only/dummy,integration_binary,random_cluster_stratified,metadata_only,0.5374331550802139,0.3495652173913043,0.3757358753778191,0.0,0.0,0.0,0.5,0.4625668449197861,dummy,,,binary,,,,,,,,,
integration_binary/random_cluster_stratified/metadata_only/metadata_lr,integration_binary,random_cluster_stratified,metadata_only,0.6711229946524064,0.6711206434316355,0.6710548092500466,0.672,0.6237623762376238,0.7283236994219653,0.7040519943634429,0.6379881650380619,metadata_lr,,,binary,,,,,,,,,
integration_binary/random_cluster_stratified/metadata_only/metadata_svm,integration_binary,random_cluster_stratified,metadata_only,0.6310160427807486,0.6301593671176335,0.6314919737047016,0.6123595505617978,0.5956284153005464,0.630057803468208,0.69579846432577,0.6301799950786583,metadata_svm,,,binary,,,,,,,,,
integration_binary/random_cluster_stratified/metadata_only/metadata_mlp,integration_binary,random_cluster_stratified,metadata_only,0.6711229946524064,0.6707251605145054,0.6715820340422923,0.6592797783933518,0.6329787234042553,0.6878612716763006,0.7277485405343227,0.6715785849793845,metadata_mlp,,,binary,,,,,,,,,
integration_binary/random_cluster_stratified/metadata_only/metadata_extra_trees,integration_binary,random_cluster_stratified,metadata_only,0.6818181818181818,0.6796170319979844,0.6816051673194531,0.6530612244897959,0.6588235294117647,0.6473988439306358,0.7562476634170189,0.7196467481912918,metadata_extra_trees,,,binary,,,,,,,,,
