result_dir,target_folder,split_folder,model_family,model,target,split_col,best_epoch,threshold,num_train,num_validation,num_test,num_nodes,num_edges,feature_dim,hidden_channels,num_layers,dropout,lr,weight_decay,device,train_accuracy,train_macro_f1,train_weighted_f1,train_positive_f1,train_precision,train_recall,train_roc_auc,train_pr_auc,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_positive_f1,validation_precision,validation_recall,validation_roc_auc,validation_pr_auc,test_accuracy,test_macro_f1,test_weighted_f1,test_positive_f1,test_precision,test_recall,test_roc_auc,test_pr_auc
integration_binary/random_cluster_stratified/simteg_graphsage,integration_binary,random_cluster_stratified,simteg_graphsage,simteg_graphsage,target_integration_binary,split_random_cluster_stratified,157,0.5,1750,376,374,32161,516227,892,128,2,0.35,0.003,0.0001,cuda,0.8651428571428571,0.8648461143748756,0.8653020849695789,0.8585131894484412,0.8364485981308412,0.8817733990147784,0.9346292814603968,0.9007112265316485,0.7819148936170213,0.7811657155835676,0.7820511078049218,0.768361581920904,0.7597765363128491,0.7771428571428571,0.8632551528073916,0.8016380863466722,0.7941176470588235,0.7925021795989537,0.7938728792618736,0.7741935483870968,0.7857142857142857,0.7630057803468208,0.892876657176545,0.8618688351951145
integration_binary/temporal_cluster_safe/simteg_graphsage,integration_binary,temporal_cluster_safe,simteg_graphsage,simteg_graphsage,target_integration_binary,split_temporal_cluster_safe,144,0.5,1257,346,897,32161,516227,892,128,2,0.35,0.003,0.0001,cuda,0.909307875894988,0.8946406408997065,0.9116221091351818,0.8553299492385786,0.7819025522041764,0.9439775910364144,0.9690849673202614,0.91128347926119,0.7601156069364162,0.7422892269035761,0.7501249983465826,0.8100686498855835,0.7254098360655737,0.917098445595855,0.8144197229841851,0.8042698203589871,0.7447045707915273,0.6361209475845381,0.707697499208737,0.8348954578226387,0.7451737451737451,0.9491803278688524,0.7433426629348261,0.8432692794646498
integration_binary/cross_program_cluster_safe/simteg_graphsage,integration_binary,cross_program_cluster_safe,simteg_graphsage,simteg_graphsage,target_integration_binary,split_cross_program_cluster_safe,58,0.5,2228,54,218,32161,516227,892,128,2,0.35,0.003,0.0001,cuda,0.7607719928186715,0.7602189585737406,0.7599295200904123,0.7717344753747324,0.7213771016813451,0.8296500920810314,0.8348290453567616,0.7915134328508338,0.8518518518518519,0.7545454545454545,0.8575757575757575,0.6,0.5454545454545454,0.6666666666666666,0.8419753086419752,0.5508844631651648,0.7706422018348624,0.7030620028331699,0.7602452481422943,0.5614035087719298,0.6530612244897959,0.4923076923076923,0.8196078431372549,0.624365733360671
integration_binary/cold_start_pi_cluster_safe/simteg_graphsage,integration_binary,cold_start_pi_cluster_safe,simteg_graphsage,simteg_graphsage,target_integration_binary,split_cold_start_pi_cluster_safe,110,0.5,1735,400,365,32161,516227,892,128,2,0.35,0.003,0.0001,cuda,0.8293948126801153,0.8292472729303928,0.8297072497971744,0.8242280285035629,0.7745535714285714,0.8807106598984772,0.8971679200681822,0.8308415110760295,0.775,0.7743173098623335,0.7746276235612729,0.7867298578199052,0.7649769585253456,0.8097560975609757,0.8349218261413384,0.7883401241225572,0.7808219178082192,0.7807412747041509,0.781098408450739,0.776536312849162,0.7277486910994765,0.8323353293413174,0.8498155204742032,0.778967010080837
integration_binary/cold_start_institution_cluster_safe/simteg_graphsage,integration_binary,cold_start_institution_cluster_safe,simteg_graphsage,simteg_graphsage,target_integration_binary,split_cold_start_institution_cluster_safe,206,0.5,2253,133,114,32161,516227,892,128,2,0.35,0.003,0.0001,cuda,0.8703950288504216,0.8703386022310694,0.8702029382313501,0.8730434782608696,0.816260162601626,0.9383177570093458,0.929694029909702,0.8995839191505647,0.7969924812030075,0.7635789057870828,0.8003338387446,0.6746987951807228,0.6363636363636364,0.717948717948718,0.8829787234042552,0.7472799677468434,0.8596491228070176,0.858076563958917,0.8596491228070176,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.9315281668222845,0.9371670858779244
integration_binary/edu_to_eng_cluster_safe/simteg_graphsage,integration_binary,edu_to_eng_cluster_safe,simteg_graphsage,simteg_graphsage,target_integration_binary,split_edu_to_eng_cluster_safe,94,0.5,1834,324,342,32161,516227,892,128,2,0.35,0.003,0.0001,cuda,0.7955288985823337,0.795523974460937,0.7954791102437669,0.7965274009766685,0.7590486039296794,0.8378995433789954,0.8645008150541941,0.8194205363002255,0.7808641975308642,0.780845408556975,0.7809330904351244,0.778816199376947,0.7530120481927711,0.8064516129032258,0.8345104027486161,0.7576928624087942,0.7982456140350878,0.7946910970166784,0.8013261954510423,0.7676767676767676,0.6785714285714286,0.8837209302325582,0.8845579939585836,0.7652989545166818
design_binary/random_cluster_stratified/simteg_graphsage,design_binary,random_cluster_stratified,simteg_graphsage,simteg_graphsage,target_design_binary,split_random_cluster_stratified,17,0.5,1750,376,374,32161,516227,892,128,2,0.35,0.003,0.0001,cuda,0.88,0.7516784509600415,0.8771438764919565,0.930186170212766,0.9216073781291172,0.9389261744966444,0.8920082601961797,0.979272482566848,0.8696808510638298,0.7448446826484967,0.8701555133011505,0.9233176838810642,0.9247648902821316,0.921875,0.9125,0.9847033995323284,0.8582887700534759,0.7016331752841123,0.8530861857253421,0.9178294573643412,0.9051987767584098,0.9308176100628932,0.8648921832884097,0.9732064644554836
design_binary/temporal_cluster_safe/simteg_graphsage,design_binary,temporal_cluster_safe,simteg_graphsage,simteg_graphsage,target_design_binary,split_temporal_cluster_safe,4,0.5,1257,346,897,32161,516227,892,128,2,0.35,0.003,0.0001,cuda,0.7438345266507558,0.4265510948905109,0.6345668635204896,0.8531021897810219,0.7438345266507558,1.0,0.8163981798252898,0.9302956374827632,0.9219653179190752,0.4796992481203007,0.8845321395975487,0.9593984962406016,0.9219653179190752,1.0,0.8650876581911066,0.9863264090032464,0.9743589743589745,0.4935064935064935,0.9617049617049616,0.987012987012987,0.9743589743589745,1.0,0.8976221271515272,0.9968166325592168
design_binary/cross_program_cluster_safe/simteg_graphsage,design_binary,cross_program_cluster_safe,simteg_graphsage,simteg_graphsage,target_design_binary,split_cross_program_cluster_safe,4,0.5,2228,54,218,32161,516227,892,128,2,0.35,0.003,0.0001,cuda,0.8675942549371634,0.4645517904349915,0.8060849290043436,0.9291035808699832,0.8675942549371634,1.0,0.8984523924346979,0.9831122631424712,0.7777777777777778,0.4375,0.6805555555555556,0.875,0.7777777777777778,1.0,0.753968253968254,0.9292655617116456,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.8247978436657682,0.7018348623853211,1.0,0.8311714429361489,0.9318523410897448
design_binary/cold_start_pi_cluster_safe/simteg_graphsage,design_binary,cold_start_pi_cluster_safe,simteg_graphsage,simteg_graphsage,target_design_binary,split_cold_start_pi_cluster_safe,7,0.5,1735,400,365,32161,516227,892,128,2,0.35,0.003,0.0001,cuda,0.7654178674351585,0.691333092919822,0.7953132529160531,0.8425531914893617,0.9714540588760036,0.7438524590163934,0.8898483656967717,0.9777360558878948,0.7325,0.6293698421357996,0.7799105465062911,0.8248772504091653,0.980544747081712,0.711864406779661,0.90978874969295,0.9872352029491098,0.7561643835616438,0.6778080833126705,0.7888128419987162,0.8366972477064221,0.9702127659574468,0.7354838709677419,0.8857478005865104,0.9780732360154344
