result_dir,target_folder,split_folder,model_family,model,target,split_col,eval_split,n,best_epoch,best_val_macro_f1,seed,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,threshold
integration_binary/random_cluster_stratified/text_hgt,integration_binary,random_cluster_stratified,text_hgt,text_hgt,target_integration_binary,split_random_cluster_stratified,train,1750,65,0.7978723404255319,42,0.8325714285714285,0.8324882333397257,0.8322194487449929,0.7656090071647902,0.9211822660098522,0.8362213527110117,0.90520129822387,0.8636737688149877,
integration_binary/random_cluster_stratified/text_hgt,integration_binary,random_cluster_stratified,text_hgt,text_hgt,target_integration_binary,split_random_cluster_stratified,validation,376,65,0.7978723404255319,42,0.7978723404255319,0.7978723404255319,0.7978723404255319,0.746268656716418,0.8571428571428571,0.7978723404255319,0.8588770433546553,0.7938313975893609,
integration_binary/random_cluster_stratified/text_hgt,integration_binary,random_cluster_stratified,text_hgt,text_hgt,target_integration_binary,split_random_cluster_stratified,test,374,65,0.7978723404255319,42,0.7914438502673797,0.7913901601830664,0.7916407139098619,0.7435897435897436,0.838150289017341,0.7880434782608695,0.8655853679578983,0.8100650688808069,
integration_binary/temporal_cluster_safe/text_hgt,integration_binary,temporal_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_temporal_cluster_safe,train,1257,60,0.7923187334174242,42,0.863961813842482,0.8296711525706584,0.86268503390151,0.7767857142857143,0.7310924369747899,0.7532467532467533,0.9280672268907564,0.8121559697647679,
integration_binary/temporal_cluster_safe/text_hgt,integration_binary,temporal_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_temporal_cluster_safe,validation,346,60,0.7923187334174242,42,0.8005780346820809,0.7923187334174242,0.7971067341505585,0.7792792792792793,0.8963730569948186,0.8337349397590361,0.8337227809949541,0.8344990490338755,
integration_binary/temporal_cluster_safe/text_hgt,integration_binary,temporal_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_temporal_cluster_safe,test,897,60,0.7923187334174242,42,0.7302118171683389,0.6421369505295227,0.7060654492358994,0.7513661202185792,0.9016393442622952,0.819672131147541,0.7300108528017365,0.8362733967747815,
integration_binary/cross_program_cluster_safe/text_hgt,integration_binary,cross_program_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_cross_program_cluster_safe,train,2228,28,0.7514066496163683,42,0.7217235188509874,0.7154041402953586,0.7143382210209153,0.6580732700135685,0.8931860036832413,0.7578125,0.8003409900887912,0.7411427925107715,
integration_binary/cross_program_cluster_safe/text_hgt,integration_binary,cross_program_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_cross_program_cluster_safe,validation,54,28,0.7514066496163683,42,0.8333333333333334,0.7514066496163683,0.8465473145780051,0.5,0.7777777777777778,0.6086956521739131,0.7925925925925926,0.4977108247223189,
integration_binary/cross_program_cluster_safe/text_hgt,integration_binary,cross_program_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_cross_program_cluster_safe,test,218,28,0.7514066496163683,42,0.7155963302752294,0.6905677655677656,0.7260921799912625,0.5164835164835165,0.7230769230769231,0.6025641025641025,0.7917546505781801,0.5646964091482973,
integration_binary/cold_start_pi_cluster_safe/text_hgt,integration_binary,cold_start_pi_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_cold_start_pi_cluster_safe,train,1735,41,0.7771866687529339,42,0.7821325648414985,0.7814494457507558,0.7825691976623856,0.7411764705882353,0.799492385786802,0.7692307692307693,0.8613173312464153,0.8040702919916527,
integration_binary/cold_start_pi_cluster_safe/text_hgt,integration_binary,cold_start_pi_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_cold_start_pi_cluster_safe,validation,400,41,0.7771866687529339,42,0.7775,0.7771866687529339,0.7773955562509781,0.7761904761904762,0.7951219512195122,0.7855421686746988,0.8285428392745464,0.7956136809579941,
integration_binary/cold_start_pi_cluster_safe/text_hgt,integration_binary,cold_start_pi_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_cold_start_pi_cluster_safe,test,365,41,0.7771866687529339,42,0.7863013698630137,0.7857207369942196,0.786668085359094,0.7486033519553073,0.8023952095808383,0.7745664739884393,0.8462469001391157,0.7730353915275014,
integration_binary/cold_start_institution_cluster_safe/text_hgt,integration_binary,cold_start_institution_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_cold_start_institution_cluster_safe,train,2253,50,0.7986042530778853,42,0.7887261429205504,0.7884917592040366,0.7881386210711558,0.7360890302066773,0.8654205607476636,0.7955326460481099,0.8661216928290976,0.818013907025328,
integration_binary/cold_start_institution_cluster_safe/text_hgt,integration_binary,cold_start_institution_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_cold_start_institution_cluster_safe,validation,133,50,0.7986042530778853,42,0.8270676691729323,0.7986042530778853,0.829914010782437,0.6818181818181818,0.7692307692307693,0.7228915662650602,0.8647026732133115,0.739836849477222,
integration_binary/cold_start_institution_cluster_safe/text_hgt,integration_binary,cold_start_institution_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_cold_start_institution_cluster_safe,test,114,50,0.7986042530778853,42,0.8508771929824561,0.8474856378374125,0.8498796767633255,0.8695652173913043,0.7843137254901961,0.8247422680412371,0.9072517896047309,0.9039007123308064,
integration_binary/edu_to_eng_cluster_safe/text_hgt,integration_binary,edu_to_eng_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_edu_to_eng_cluster_safe,train,1830,190,0.8536367692994199,42,0.933879781420765,0.9338631726621304,0.933913571653849,0.9032258064516128,0.9644087256027556,0.9328151027207108,0.9779321887394664,0.9685030997968878,
integration_binary/edu_to_eng_cluster_safe/text_hgt,integration_binary,edu_to_eng_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_edu_to_eng_cluster_safe,validation,328,190,0.8536367692994199,42,0.8536585365853658,0.8536367692994199,0.8535932347275281,0.8255813953488372,0.8875,0.8554216867469879,0.9001488095238095,0.8657371403591079,
integration_binary/edu_to_eng_cluster_safe/text_hgt,integration_binary,edu_to_eng_cluster_safe,text_hgt,text_hgt,target_integration_binary,split_edu_to_eng_cluster_safe,test,342,190,0.8536367692994199,42,0.8391812865497076,0.8338970179172223,0.8411737157062185,0.743421052631579,0.875968992248062,0.8042704626334519,0.9169851148233068,0.8515217168990912,
design_binary/random_cluster_stratified/text_hgt,design_binary,random_cluster_stratified,text_hgt,text_hgt,target_design_binary,split_random_cluster_stratified,train,1750,92,0.784568372803667,42,0.8977142857142857,0.826966109662334,0.9047322013012083,0.9753444525018128,0.9026845637583892,0.9376089229696758,0.9586112545172948,0.992820516527652,
design_binary/random_cluster_stratified/text_hgt,design_binary,random_cluster_stratified,text_hgt,text_hgt,target_design_binary,split_random_cluster_stratified,validation,376,92,0.784568372803667,42,0.8723404255319149,0.784568372803667,0.8811176308047397,0.9594594594594594,0.8875,0.922077922077922,0.9143973214285712,0.984099683842324,
design_binary/random_cluster_stratified/text_hgt,design_binary,random_cluster_stratified,text_hgt,text_hgt,target_design_binary,split_random_cluster_stratified,test,374,92,0.784568372803667,42,0.8449197860962567,0.7393790849673203,0.8555625458739646,0.9421768707482994,0.8710691823899371,0.9052287581699346,0.8783692722371967,0.9762598920293764,
design_binary/temporal_cluster_safe/text_hgt,design_binary,temporal_cluster_safe,text_hgt,text_hgt,target_design_binary,split_temporal_cluster_safe,train,1257,60,0.7142332752133616,42,0.8305489260143198,0.7980887353482153,0.837569086297267,0.937046004842615,0.827807486631016,0.879045996592845,0.9095957750689208,0.9700310442662982,
design_binary/temporal_cluster_safe/text_hgt,design_binary,temporal_cluster_safe,text_hgt,text_hgt,target_design_binary,split_temporal_cluster_safe,validation,346,60,0.7142332752133616,42,0.9219653179190752,0.7142332752133616,0.9198527886712204,0.953416149068323,0.962382445141066,0.9578783151326054,0.8569604086845466,0.9850578033456234,
design_binary/temporal_cluster_safe/text_hgt,design_binary,temporal_cluster_safe,text_hgt,text_hgt,target_design_binary,split_temporal_cluster_safe,test,897,60,0.7142332752133616,42,0.9721293199554067,0.6357508324535044,0.9678367870522504,0.9796610169491524,0.9919908466819222,0.9857873791927232,0.8247438065864093,0.9929982662193306,
